start,end,text
0.359,5.759,"oh okay we're going there we are going"
3.12,7.5,"there together I mean we've we've never"
5.759,9.24,"talked about this before we've talked"
7.5,11.940000000000001,"about Photoshop and Lightroom and"
9.24,14.58,"Premiere and and lots lots of other"
11.94,16.56,"things this we've never even dipped our"
14.58,18.779,"toes in but today we're doing that don't"
16.56,20.698999999999998,"freak out I'm doing everything I can to"
18.779,23.698999999999998,"make sure this is easy for you so that"
20.699,25.5,"you uh you're not gonna just combust I'm"
23.699,28.43,"excited you should be excited too let's"
25.5,31.34,"turn this thing around all right"
28.43,33.72,"[Music]"
31.34,36.42,"thank you"
33.72,38.399,"[Music]"
36.42,41.28,"what's up everybody Peter McKinnon here"
38.399,43.8,"and welcome back to yet another tutorial"
41.28,46.86,"Tuesday and today we're talking about"
43.8,48.66,"Adobe After Effects so like I mentioned"
46.86,50.219,"in the intro we've never actually talked"
48.66,51.839999999999996,"about this program before we've talked"
50.219,54.719,"about everything else but we've never"
51.84,56.1,"never even dabbled in After Effects and"
54.719,58.739000000000004,"I've seen a lot of comments and"
56.1,59.94,"questions and emails and DMS and a lot"
58.739,61.559,"of people want to know why don't you"
59.94,63.358999999999995,"ever do after effects tutorials or would"
61.559,66.24,"you do after effects tutorials or I'd"
63.359,68.34,"love to see something from you in After"
66.24,70.14,"Effects so that's that's today so I"
68.34,71.82000000000001,"figured we would start with this there's"
70.14,73.979,"probably going to be multiples of these"
71.82,75.41999999999999,"because this this program's a beast and"
73.979,77.939,"I don't think I can tackle this all in"
75.42,80.4,"one video and you guys know how I I talk"
77.939,81.6,"a lot so this needs to be split up for"
80.4,84.18,"sure so let's just call this after"
81.6,85.91999999999999,"effects basics part one so I'm gonna run"
84.18,87.72000000000001,"you guys through the interface of the"
85.92,90.18,"program show you what it's like where"
87.72,92.03999999999999,"things go try and simplify it for you as"
90.18,94.619,"best as I can and I think we'll just"
92.04,96.36000000000001,"make a simple title like animating a"
94.619,99.119,"nice title that's uh that's tracked"
96.36,100.86,"through 3D space if you will and I find"
99.119,102.96,"these actions just help me explain"
100.86,104.22,"things better we'll track a title so you"
102.96,105.65899999999999,"guys can put those types of things in"
104.22,107.52,"your videos or your Vlogs your travel"
105.659,110.46000000000001,"films it's a very good kind of like"
107.52,112.86,"introductory small little task for a"
110.46,115.079,"program as much of a beast as After"
112.86,117.36,"Effects is so what is after effects"
115.079,120.24,"after effects is kind of I describe it"
117.36,122.82,"as like the Photoshop a video you can do"
120.24,124.5,"so much in After Effects whenever you"
122.82,126.36,"see special effects happening like in"
124.5,128.96,"yesterday's Vlog when you saw that Nerf"
126.36,128.96,"gun turn into"
130.08,133.62,"that's after effects if you guys follow"
132.12,137.06,"me on Twitter you saw what I did for"
133.62,137.06,"garyvee with his new shoes"
137.18,142.20000000000002,"that's after effects its possibilities"
140.22,143.76,"are endless people use it in such"
142.2,146.459,"creative ways it's an incredible"
143.76,148.92,"compliment to video really allowing you"
146.459,150.84,"to just kind of expand your horizons as"
148.92,152.45899999999997,"far as your creativity goes so if you"
150.84,154.08,"get a handle of how good this program"
152.459,156.599,"works and you get good at it and you"
154.08,158.64000000000001,"practice your skill sets your worth your"
156.599,160.73899999999998,"everything is a filmmaker or an editor"
158.64,162.599,"is just going to be that much better so"
160.739,164.22,"I figured it's time that we we kind of"
162.599,166.01899999999998,"dive into this and start maybe knocking"
164.22,168.06,"some of these out so this is the part"
166.019,170.16,"where you go make a coffee you grab a"
168.06,171.72,"drink you do a hundred push-ups have a"
170.16,173.459,"power nap run around your house six"
171.72,174.959,"times whatever you gotta do we're gonna"
173.459,177.06,"open up Adobe After Effects for the"
174.959,178.68,"first time let's go alright so when you"
177.06,180.36,"launch after effects for the first time"
178.68,182.76000000000002,"it's going to open up with that project"
180.36,185.15900000000002,"window the same as if you open up"
182.76,186.78,"Lightroom or photoshop or Premiere and"
185.159,188.459,"it's going to ask you what you want to"
186.78,191.64000000000001,"do so you're going to hit new project"
188.459,194.4,"okay pause for a sec second this is the"
191.64,195.89999999999998,"interface of After Effects it looks kind"
194.4,197.64000000000001,"of the same as Premiere you'll notice"
195.9,199.68,"you've got the timeline down at the"
197.64,201.599,"bottom you've got your workspace up top"
199.68,203.87900000000002,"you've got some kind of file storage"
201.599,206.33999999999997,"some bins some area on the left side for"
203.879,207.84,"your your stuff to go your files your"
206.34,209.22,"videos your music you know whatever"
207.84,211.26,"you're gonna throw in there you got your"
209.22,213.72,"effects on the right side so if you are"
211.26,216.48,"kind of like a seasoned Pro or somewhat"
213.72,218.22,"seasoned by you know having used any"
216.48,220.14,"type of Creative Cloud products from"
218.22,222.239,"Adobe before this shouldn't look too"
220.14,223.379,"foreign but there's still probably a few"
222.239,226.019,"things in here that you're going to be"
223.379,227.34,"like so let's keep going all right so on"
226.019,229.44,"the left side you've got your project"
227.34,231.239,"window this is where all your files get"
229.44,232.799,"dropped into got graphics if you've got"
231.239,234.72,"music you've got whatever you need"
232.799,236.15900000000002,"that's going in the left side very much"
234.72,237.42,"similar to if you're going to put all"
236.159,238.98,"your footage into Premiere to start"
237.42,241.73899999999998,"editing you're going to drop all your"
238.98,244.26,"goods all your assets"
241.739,246.18,"into the project window all right"
244.26,247.98,"immediately to the right of that is your"
246.18,249.299,"composition window that's where you're"
247.98,250.439,"seeing what you're working on that's"
249.299,252.299,"where your video is going to be"
250.439,254.04,"everything you're adjusting all the"
252.299,255.959,"stuff you're tweaking all the effects"
254.04,257.639,"the after effects that you're putting on"
255.959,259.56,"your footage and your video that's the"
257.639,260.94,"main spot for it on the right side kind"
259.56,262.56,"of like Lightroom you've got that big"
260.94,263.82,"panel of effects so that's where you're"
262.56,266.1,"going to type in your different effects"
