start,end,text
0.03,2.879,"what's up everybody Peter MacKinnon here"
1.829,4.799,"and today we're talking about"
2.879,6.93,"transitions now this is part three and"
4.799,8.91,"an ongoing series on stepping up your"
6.93,16.529,"filmmaking there's a lot to cover so"
8.91,19.32,"let's go all right guys you've been"
16.529,22.17,"asking for it so today we embark on the"
19.32,24.539,"journey that is transitions now there is"
22.17,26.07,"a lot to cover with this but I'm going"
24.539,27.39,"to break this video into several"
26.07,29.22,"different videos over the next couple"
27.39,30.630000000000003,"weeks just because I could easily make"
29.22,32.669,"this video over like an hour and a half"
30.63,34.62,"long and some of you guys would be like"
32.669,36.93,"yeah and some of you would be like stop"
34.62,38.579,"talking so I'm going to try and find"
36.93,40.71,"some middle ground here but there's a"
38.579,42.239000000000004,"lot to go over so in today's video we're"
40.71,44.61,"going to look at only a couple"
42.239,46.739,"transitions specifically I want to show"
44.61,48.5,"you guys how to do the the masking in"
46.739,50.968999999999994,"the frame blocking which is where"
48.5,53.879,"something covers the frame and you mask"
50.969,54.989000000000004,"to a transition underneath you guys have"
53.879,56.669999999999995,"seen this on a couple of videos that"
54.989,58.169999999999995,"I've done I didn't one of my vlogs where"
56.67,59.579,"that my friends workshop and we were"
58.17,61.410000000000004,"showing his wood shot that kind of thing"
59.579,63.12,"I did it at left-field brewery a couple"
61.41,64.86,"days ago and a vlog but whenever I can"
63.12,68.07,"find a really good reason or I'm"
64.86,70.26,"shooting and I can work that in i 100%"
68.07,72.119,"try to make that effort so that kind of"
70.26,74.58000000000001,"leads into my first point my first point"
72.119,77.189,"is transitions are more than just fancy"
74.58,78.75,"edits and ways to make your footage look"
77.189,80.46,"better absolutely that's what they do"
78.75,82.28,"but to get the most out of your"
80.46,85.04899999999999,"transitions and to make them feel"
82.28,87.27,"intentional and to make them feel like"
85.049,89.43,"you meant to do it and they're perfectly"
87.27,91.38,"suited for each other you got to think"
89.43,93.09,"ahead of time you got to shoot to edit"
91.38,95.64,"I've talked about this before you got to"
93.09,97.95,"plan those shots you got to shoot the"
95.64,99.9,"transitional Clips ahead of time so when"
97.95,101.729,"you bring those into post and actually"
99.9,103.86,"start editing them and adding the"
101.729,106.079,"transitions into those two Clips you're"
103.86,107.88,"going to get a slug ah you're going to"
106.079,110.189,"get such a better results because you"
107.88,112.229,"plan for that transition it's not just"
110.189,114.57,"finding two clips that happen to work"
112.229,116.28,"together and you're like oh sick and I"
114.57,118.94999999999999,"worked out and sometimes that happens"
116.28,121.5,"but if it worked out because you shot"
118.95,124.86,"certain clips to do certain transitions"
121.5,126.689,"with it's going to be that so so much"
124.86,129.09,"better okay now before we get into the"
126.689,131.34,"actual tutorial of how these transitions"
129.09,132.959,"work it's important to talk about screen"
131.34,133.42000000000002,"direction and movement because there's"
132.959,135.91,"ways"
133.42,138.25,"transition clips without actually adding"
135.91,140.10999999999999,"and edit into them so when we're going"
138.25,141.64,"to do masking or frame blocking we have"
140.11,143.62,"to actually go into that clip and mask"
141.64,145.35999999999999,"out Clips underneath and then move"
143.62,147.84900000000002,"things around and actually edit footage"
145.36,150.459,"but before we even get into the editing"
147.849,153.51999999999998,"like the meat of it you can still get"
150.459,156.1,"great transitions just by matching Clips"
153.52,158.11,"together or matching screen directions"
156.1,159.73,"so if there's a car moving to the right"
158.11,161.26000000000002,"the next clip might be someone running"
159.73,162.79,"to the right and the next clip after"
161.26,164.64999999999998,"that might be something else moving to"
162.79,166.92999999999998,"the right but if you transition those"
164.65,168.81900000000002,"Clips properly between each other and"
166.93,170.41,"you carry out that screen direction"
168.819,172.6,"where all the movement is going one way"
170.41,174.57999999999998,"those are still transitions you're still"
172.6,176.95,"keeping in mind you're still editing"
174.58,178.60000000000002,"with that intentionality so that when"
176.95,181.32999999999998,"people watch your films and your videos"
178.6,182.41,"it feels cohesive feels like there was"
181.33,184.269,"thought put into it"
182.41,186.34,"they might not subconsciously pick up on"
184.269,189.459,"it some people might but if they don't"
186.34,192.489,"it's still it's an easier watch it's a"
189.459,195.34,"better watch so not all transitions are"
192.489,197.53,"fancy camera moves or fancy editing"
195.34,199.239,"techniques sometimes it's just putting"
197.53,201.519,"the thought into how you're going to"
199.239,203.41,"piece those Clips together so screen"
201.519,205.57,"direction and the way it Clips move in"
203.41,208.75,"and out of each other using intentional"
205.57,210.97,"shots that as every bit important as"
208.75,212.32,"actually learning how to edit in"
210.97,214.329,"transitions in post"
212.32,216.579,"the two things need to work together to"
214.329,220.329,"get the best result essentially it's one"
216.579,222.519,"thing so now that's out of the way let's"
220.329,224.14000000000001,"move on so what masking and frame"
222.519,226.06,"blocking transitions are really good at"
224.14,228.19,"is making an edit feel really just"
226.06,230.14000000000001,"seamless instead of just one clip"
228.19,232.239,"whipping into the next clip which starts"
230.14,234.64,"with the whipping of being able to mask"
232.239,237.43,"that out just makes it a lot more like"
234.64,239.98,"whoa just flows real nice think of it as"
237.43,241.72,"just like a nice flow opposed to some"
239.98,243.64,"turbulence in that flow we want to"
241.72,245.859,"remove all the turbulence and sometimes"
243.64,247.6,"adding these types of transitions just"
245.859,249.76000000000002,"smooth it out for a much less bumpy"
247.6,250.81,"viewing experience no seat belt required"
249.76,252.31,"now if you're going to do the frame"
250.81,254.5,"block and you have to shoot something"
252.31,256.09,"that's in front of the frame so that you"
254.5,257.62,"can actually mask it out you got to keep"
256.09,259.32899999999995,"that in mind so it could be someone"
257.62,261.34000000000003,"walking by it could be an object that is"
259.329,263.979,"just blocking where the term comes from"
261.34,266.97999999999996,"the frame and you pan through it so that"
263.979,269.11,"it is essentially the divider that"
266.98,270.97,"across the frame that's the that's the"
269.11,272.86,"focus point that's the anchor that's"
270.97,274.78000000000003,"what we're going to use to blend away so"
272.86,276.31,"we see the clip beneath so when you're"
274.78,277.69,"shooting you got to keep that in mind"
276.31,279.64,"you got to look for those things maybe"
277.69,281.65,"it's a telephone pole maybe it's a car"
279.64,283.9,"that drives by the frame and completely"
281.65,286.27,"blocks the frame like that but you want"
283.9,287.77,"something that goes right in front but"
286.27,288.84999999999997,"you can mask away that's the kind of"
287.77,290.38,"thing you want to look for when you're"
288.85,292.03000000000003,"shooting so if we're in my office for"
290.38,293.98,"example right now and we just want to"
292.03,295.71999999999997,"hand hold a clip just for explanation or"
293.98,297.46000000000004,"purposes and let's say we start the clip"
295.72,298.84000000000003,"moving to the right and then we film"
297.46,300.37,"another clip if we just put those two"
298.84,302.91999999999996,"clips together you can see how it"
300.37,304.6,"doesn't seamlessly it's just not it"
302.92,305.71000000000004,"works but it's whatever it's forgettable"
304.6,308.05,"you're not going to think anything about"
305.71,309.58,"it but if we frame block and we move the"
308.05,311.86,"camera in front of something and in the"
309.58,313.69,"next clip we continue that transitional"
311.86,315.79,"movement but now we're going to mask"
313.69,317.98,"away that first clip to review what's"
315.79,320.74,"underneath look how much better that"
