start,end,text
4.02,7.9799999999999995,"look at this I feel like I grew this"
6.359,9.599,"I've been taking care of this at the"
7.98,12.059000000000001,"office I've been giving it water you"
9.599,14.46,"know like plants need and sun and it's"
12.059,16.139,"just growing and it's so happy makes me"
14.46,17.52,"so happy and like every day that I come"
16.139,18.538999999999998,"in it's like longer it's called the"
17.52,20.039,"pothos"
18.539,23.340000000000003,"like that and it's just like it just"
20.039,26.240000000000002,"hangs so happily"
23.34,26.24,"ah what a great day"
30.359,34.800000000000004,"what's up everybody Peter McKinnon here"
32.7,37.260000000000005,"and welcome back to another video today"
34.8,39.839999999999996,"we're talking photography if you like"
37.26,42.54,"taking pictures if you own a camera you"
39.84,44.46,"wander about snapping pics this video is"
42.54,46.379,"for you specifically targeted more"
44.46,48.660000000000004,"towards beginners or people that aren't"
46.379,50.519999999999996,"necessarily professional but I wanted to"
48.66,52.739,"go through a few things that beginners"
50.52,54.660000000000004,"make mistakes on quite frequently when"
52.739,56.699,"they're starting out in this craft I've"
54.66,58.62,"looked inside myself and I've found some"
56.699,60.42,"things that I wish I had done better"
58.62,61.62,"when I was starting photography out a"
60.42,63.42,"few little things that if I had just"
61.62,65.46,"paid more attention to I would have been"
63.42,67.2,"taking better photos faster which means"
65.46,68.75999999999999,"potentially more business if that's"
67.2,70.68,"something that you're looking to take"
68.76,71.76,"photography towards or just you're being"
70.68,73.38000000000001,"a better artist you're being a better"
71.76,76.28,"photographer with some of these things"
73.38,76.28,"if you keep them in mind"
76.32,79.79899999999999,"tip number one one of the things I wish"
78,81.78,"I paid more attention to is the"
79.799,83.10000000000001,"histogram that's this little funky chart"
81.78,85.02,"right here that looks like like a heart"
83.1,86.58,"rate monitor but the far left of that"
85.02,88.56,"chart represents the blacks and the"
86.58,90.78,"Shadows far right of that graph chart"
88.56,92.28,"represents the highlights whites"
90.78,93.9,"anything that's Overexposed in the"
92.28,95.759,"middle is your mid-tones so you never"
93.9,97.979,"want to see that graph if you will the"
95.759,99.72,"histogram spiked in One Direction if"
97.979,101.22,"it's way up here that means it's blown"
99.72,102.84,"out your image is damaged and there's"
101.22,104.28,"just no detail there's too much white"
102.84,105.899,"there's too much brightness it's too"
104.28,107.759,"much light whereas on the opposite"
105.899,109.14,"spectrum of that if it's spiking on this"
107.759,110.7,"side there's no detail because you've"
109.14,112.32000000000001,"crushed those blacks too much it's just"
110.7,114.299,"too dark there's too much Shadow it's"
112.32,116.03999999999999,"not evenly balanced so when you look at"
114.299,117.659,"a histogram it tells you right away"
116.04,119.759,"without even having to look at the photo"
117.659,121.92,"because don't trust your eyes and don't"
119.759,123.36,"trust the back of an LCD screen too many"
121.92,124.619,"times I would just look at the photo on"
123.36,125.88,"my camera and be like yeah it looks dope"
124.619,127.74,"then I would get back to start editing"
125.88,129.29999999999998,"it you see it on a huge monitor it looks"
127.74,131.16,"totally different I would see the"
129.3,132.84,"histogram within Lightroom or photoshop"
131.16,134.52,"wherever I was editing and then realize"
132.84,136.68,"oh wow that's actually wildly"
134.52,138.42000000000002,"Overexposed had I just taken by five"
136.68,140.52,"seconds to look at the histogram I would"
138.42,141.66,"have known that scientifically and then"
140.52,143.22,"I could have just taken another photo"
141.66,145.319,"and fixed that because what you're"
143.22,147.35999999999999,"looking for is an even plane you want"
145.319,149.22,"that histogram to have a nice Even Flow"
147.36,150.9,"no crazy spikes like when you're"
149.22,152.28,"tracking your sleep with a sleep tracker"
150.9,154.44,"app and you wake up and it looks like"
152.28,155.76,"Everest like wow that was a rough night"
154.44,157.62,"but then you wake up one morning and you"
155.76,159.06,"see it's like calm Waters"
157.62,160.68,"you're just chilling in the Maldives"
159.06,162.36,"it's just like it's just Smooth you're"
160.68,164.28,"coasting and you're like wow I feel"
162.36,165.54000000000002,"great that's the same kind of thing you"
