start,end,text
6.75,13.29,"[Music]"
9.769,15.24,"hi there welcome to camera basics part 2"
13.29,16.71,"I'm sorry it took me so long to get back"
15.24,18.75,"to this because I've actually been"
16.71,20.22,"meaning to make this video a lot sooner"
18.75,21.84,"it was like five months ago in April"
20.22,22.529,"when I made it so that's what we're"
21.84,24.779,"shooting today"
22.529,26.13,"I'm very excited so grab your cameras"
24.779,28.289,"you make some coffee"
26.13,30.63,"and prepared to learn more about this"
28.289,32.84,"art form that we all love so let's do it"
30.63,39.2,"I like those camera moves"
32.84,39.2,"[Music]"
40.21,44.47,"what's up everybody Peter for kidding"
42.38,47.18,"here welcome back to another tutorial"
44.47,49.16,"feeling good feeling caffeinated it's a"
47.18,52.04,"bright sunny day that makes me happy and"
49.16,53.959999999999994,"we're talking about camera basics part"
52.04,55.4,"to the mean to make this video for five"
53.96,57.05,"months now made the first one in a"
55.4,58.839999999999996,"problem was like I'm gonna do another"
57.05,61.339999999999996,"one of these like next week and then"
58.84,64.01,"then now it's today a little bit of time"
61.34,66.11,"just a little bit a smidge has passed in"
64.01,68.39,"between but I am here to talk about"
66.11,71.06,"today just two things white balance and"
68.39,72.86,"focus modes my goal with these videos is"
71.06,74.24000000000001,"to kind of go through a whole bunch of"
72.86,76.07,"different settings that your camera has"
74.24,78.86,"that all cameras have so that you have a"
76.07,80.44999999999999,"very good understanding of camera basics"
78.86,81.77,"so when you going to take photos you"
80.45,83.09,"know what all those things mean you know"
81.77,84.83,"what all the buttons me because I've"
83.09,86.60000000000001,"been there and I was looking at all"
84.83,88.85,"these weird abbreviations and weird"
86.6,90.41,"buttons and I had no idea you'd flip"
88.85,92.03,"into something by accident and suddenly"
90.41,93.8,"that image is super blue and you're like"
92.03,95.42,"how do I get it should I turn should I"
93.8,98.869,"take the battery out like this is your"
95.42,101.869,"first day let's start with white balance"
98.869,103.31,"what is white balance it's kind of hard"
101.869,105.11,"to explain because there's a way to"
103.31,107.69,"explain it that's very scientific and"
105.11,110.45,"confusing and gets very in-depth with"
107.69,112.34,"percentages and colors and waveforms of"
