start,end,text
0.33,4.65,"[Music]"
1.49,7.259,"hi I'd love to try a little experiment"
4.65,9.870000000000001,"today can you still make good content"
7.259,12.269,"using cheap cameras the bottom of the"
9.87,14.428999999999998,"line entry-level DSLR is like we're"
12.269,16.32,"talking five hundred dollars or less he"
14.429,18.810000000000002,"still played the game I think we should"
16.32,20.22,"start with the game and super excited I"
18.81,21.599999999999998,"also want to have my friend Gabriel come"
20.22,23.038999999999998,"in here real quick and I want him to"
21.6,25.199,"look at the photos and see if he can"
23.039,28.080000000000002,"figure out which or which in a real time"
25.199,31.109,"live what's not live because we work but"
28.08,31.948999999999998,"you get it so let's go Gabriel okay he's"
31.109,33.27,"here he's here"
31.949,34.800000000000004,"he has no idea what we're doing in here"
33.27,36.6,"and Gabriel's a professional"
34.8,38.459999999999994,"photographer you make money from"
36.6,40.410000000000004,"photography yeah that's how you make a"
38.46,42.54,"living yeah cool I took photos with like"
40.41,45.51,"a really like entry-level this thing"
42.54,48.989,"just feel it right now weighs less than"
45.51,51.059,"one of my lenses yeah photos with with"
48.989,53.07,"the are I want to show you a series of"
51.059,54.66,"the photos and I want you to then tell"
53.07,55.92,"me what you think I shot it with okay so"
54.66,58.648999999999994,"we'll start with this photo"
55.92,61.59,"so examine that I'd say the first one"
58.649,64.26,"was with the AR and that was with the"
61.59,67.409,"lower end camera Oh nails it okay nails"
64.26,69.15,"it okay for one photo - hmm what what's"
67.409,71.25,"phone number two the higher-end phone"
69.15,72.75,"number - Oh red phone number one is the"
71.25,75.509,"lower-end phone number two is actually"
72.75,79.29,"the t100 photo number one was the our"
75.509,81.81,"Wow Oh crazy right Wow okay cool phone"
79.29,83.79,"number one phone number two okay phone"
81.81,85.619,"number one that's with the higher end"
83.79,92.79,"this one right here yeah that is the"
85.619,94.65,"lower end really yeah oh this might not"
92.79,95.82000000000001,"work whenever I have students and"
94.65,97.29,"they're complaining that their gear"
95.82,99.02999999999999,"isn't good enough right what they're"
97.29,101.03,"trying to shoot I just do a quick google"
99.03,103.74,"search and I pull up photographers on"
101.03,105.24,"d-day storming the beach in Normandy and"
103.74,106.649,"I show them and I'm like are these good"
105.24,107.939,"pictures and I don't tell them what it"
106.649,109.53,"is spend like are these good pictures"
107.939,111.17999999999999,"like yeah they're powerful they're movie"
109.53,115.409,"and I'm like these were film cameras"
111.18,117.42,"under fire that's quitman isn't good"
115.409,117.75,"enough I love that okay thanks let's go"
117.42,118.95,"eat"
117.75,120.84,"oh but I got to dress the video then"
118.95,122.34,"we'll go eat okay okay good that was fun"
120.84,124.07900000000001,"we should do more of that I'm gonna"
122.34,125.61,"flash some photos on the screen here in"
124.079,127.74,"a second I want you to remember the"
125.61,128.399,"photos that you see and as you see the"
127.74,130.019,"photos"
128.399,132.209,"I want you to think to yourself is that"
130.019,135.299,"entry level camera or professional"
132.209,136.709,"camera entry or pro t100 or are and at"
135.299,138.45000000000002,"the end I will tell you which photos"
136.709,139.59,"were taken with what I'm gonna flash"
138.45,142.73899999999998,"them pretty fast"
139.59,144.20000000000002,"here we go which photos are taken with"
142.739,160.979,"what"
144.2,160.97899999999998,"[Music]"
164.86,180.65,"[Music]"
181.41,185.85999999999999,"that's pretty crazy right maybe you were"
184.18,186.94,"surprised maybe you weren't I wasn't"
185.86,188.44000000000003,"surprised at all I knew I could take"
186.94,190.6,"good photos with this cuz I've got I've"
188.44,192.28,"got a lot of experience doing exactly"
190.6,193.69,"what you just saw taking photos like"
192.28,195.4,"that and we're gonna get into that more"
193.69,196.9,"when we sit down and talk about this"
195.4,199.21,"which basically sets up the whole"
196.9,201.16,"episode cheap cameras can you still make"
199.21,202.36,"a living can you play this game with"
201.16,204.81,"cheap gear or do you need to spend"
202.36,204.81,"thousands"
207.66,212.71,"what's up everybody Pierre MacKinnon"
209.8,214.39000000000001,"here welcome back to another video get"
212.71,216.21,"is getting colder outside that's why you"
214.39,218.73999999999998,"are seeing more and more hoodies and"
216.21,219.34,"loved hoodies season love winter love"
218.74,221.59,"the snow"
219.34,223.45000000000002,"but today this topic is something I've"
221.59,225.28,"been wanting to do this for a long time"
223.45,226.69,"and it all stemmed from my buddy Mike"
225.28,228.01,"who owns a company called the hook and"
226.69,229.66,"stem he was like hey go check out my"
228.01,231.07,"grid on Instagram went checked it out"
229.66,232.81,"yeah dude looks amazing yeah"
231.07,234.94,"everything's great like love the style"
232.81,237.97,"the flow cool shot everything with the"
234.94,240.52,"digital rebel XT I'm like wait you mean"
237.97,242.29,"the XT from 2003 to the 15 year old he's"
240.52,244.24,"again I bought it on eBay for like 50"
242.29,246.57999999999998,"bucks and like a knock off 50 mil lens"
244.24,248.26000000000002,"for another like 25 so like less than a"
246.58,250.27,"hundred bucks and this is what I got"
248.26,252.42999999999998,"here's like two images just from his"
250.27,254.71,"account that's all taken with the camera"
252.43,256.57,"that's 15 years old it's 8 megapixels"
254.71,258.07,"that is a prime example I thought to"
256.57,259.989,"myself when I saw those photos I was"
258.07,261.67,"like wow this would be a great topic to"
259.989,263.61999999999995,"discuss with you guys that here's a guy"
261.67,265.45,"making a living doing all his product"
263.62,267.37,"photography to sell his business to"
265.45,267.88,"people so people buy things from his"
267.37,269.71,"shop"
267.88,272.05,"and he's using a rebel XT to do that"
269.71,274.15,"with a really cheap lens I went and"
272.05,276.22,"grabbed like the cheapest Canon DSLR I"
274.15,280.39,"could find this thing is like it's"
276.22,282.34000000000003,"pretty much 98% plastic the autofocus"
280.39,284.14,"was slower than like I could order a"
282.34,285.90999999999997,"pizza and it would probably delivered"
284.14,287.95,"before this thing focused on an image it"
285.91,289.90000000000003,"did eventually focus but it's it's slow"
287.95,291.90999999999997,"the bottom-of-the-barrel digital DSLR"
289.9,293.83,"that they offer I think it's that it's"
291.91,295.3,"the rebel T 100 although all of these"
293.83,297.72999999999996,"cameras have like six different names"
295.3,300.1,"for one model but it's 500 bucks 500"
297.73,302.95000000000005,"bucks all said and done that's with the"
300.1,304.18,"extra 50 mil 1.8 lens now we did a video"
302.95,307.26,"on this lens have you ever seen it"
304.18,309.94,"here's like two seconds of the b-roll"
307.26,311.5,"they redid this lens like a metal mount"
309.94,313.24,"so this is a little bit better the"
311.5,315.1,"mission was okay let's photograph"
313.24,317.11,"something as if I was going to sell"
315.1,318.34000000000003,"these photos to a company or that would"
317.11,320.14,"feel like I'm working for someone"
318.34,323.04999999999995,"something that I would then sell to make"
320.14,324.88,"money is this even like an option or is"
323.05,326.59000000000003,"it just is it no you need to spend the"
324.88,328.21,"money on good gear with these things in"
326.59,331.65999999999997,"mind we decided to make this easy"
328.21,333.82,"product photos of a mug a super simple"
331.66,335.74,"mug actually it's not even a mug it's a"
333.82,338.139,"mason jar with a leather sleeve fun"
335.74,340.3,"little fact I'll be releasing these"
338.139,342.1,"shameless plug super excited but I mean"
340.3,344.62,"at the end of the day this is just a mug"
342.1,346.84000000000003,"I'm on my desk at home in my home office"
344.62,348.22,"how can we make this look good so if"
346.84,350.08,"you've watched my product photography"
348.22,351.28000000000003,"video boom thing right right from the"
350.08,353.65,"corner there if you guys have seen it"
351.28,355.78,"before you know I love textures I love"
353.65,357.76,"shooting on textures so I went back down"
355.78,359.26,"to the basement grab that old box that"
357.76,361.81,"we used for that product photography"
359.26,363.55,"video and started to kind of like build"
361.81,364.84,"a little scene that I could put this mug"
363.55,366.43,"on so that it would made it a little"
364.84,368.26,"more interesting and give it some mood"
366.43,369.73,"give it some life give it some color so"
368.26,371.56,"that this camera would have its best"
369.73,373.24,"chance at performing the best it"
371.56,374.95,"possibly could this is what the scene"
373.24,377.14,"looks like but if you zoom right out"
374.95,378.88,"we're on my desk so it's nothing special"
377.14,380.89,"but that just goes to show you these"
378.88,382.21,"things are obtainable at your home you"
380.89,384.34,"don't need a studio you don't need a"
382.21,385.87,"fancy office with fancy lights are those"
384.34,387.28,"things gonna make everything you do look"
385.87,388.75,"better obviously that's a whole"
387.28,390.96999999999997,"different topic that's not even that's"
388.75,393.31,"it's not the point here it's just that"
390.97,395.35,"we can set up a little mock station on"
393.31,397.24,"our desk we're gonna use the lowest end"
395.35,397.87,"camera we can find can we make this look"
397.24,407.83,"good"
397.87,409.449,"[Music]"
407.83,410.65,"okay so now that I've shot a few of"
409.449,411.909,"these photos I just dump them into"
410.65,413.919,"Lightroom you can see right here they"
411.909,415.33,"look not half-bad out of camera so if I"
413.919,417.099,"run one of my new presets on them like"
415.33,418.87,"Moraine that's gonna give it that rustic"
417.099,420.19,"vibe that I already know the vibe I'm"
418.87,421.84000000000003,"looking for the color that I'm going for"
420.19,423.819,"we've got to bring that exposure up a"
421.84,425.919,"little bit maybe mess with the the tone"
423.819,427.599,"curve here and just tweak little things"
425.919,429.099,"to get it so that it's just looking"
427.599,430.659,"right and it's not a whole lot of work"
429.099,433.06,"like as you can see this is taking me"
430.659,434.53,"less than 60 seconds to get to a point"
