start,end,text
1.89,4.96,"[Music]"
6.08,10.620000000000001,"hello and welcome to Monday now on the"
8.97,12.420000000000002,"drive-in it's very special day because I"
10.62,16.83,"realized I haven't had coffee today and"
12.42,19.289,"then it hit me not once not one time not"
16.83,21.18,"once have I ever made coffee in this"
19.289,22.439,"office which is insane to me because"
21.18,25.259999999999998,"you'd think that I'd be making it like"
22.439,27.3,"every single day so that's gonna change"
25.26,30.21,"and that's gonna change today in the"
27.3,32.189,"most epic fashion possible also how sick"
30.21,35.1,"does this cage look right now right like"
32.189,39.35,"it is looking mint but not as a mint as"
35.1,39.35,"the b-roll that's starting right now"
42.98,80.16999999999999,"[Music]"
78.36,84.25,"[Applause]"
80.17,88.94,"what did you think of that beer Oh spicy"
84.25,91.22,"just beautiful immaculate it was like"
88.94,94.88,"Daniel Schiffer be role just I just"
91.22,96.65,"shipped that b-roll badly in a bad way"
94.88,98.66,"it was almost like a complete ripoff of"
96.65,100.97,"his b-roll to be honest if we're going"
98.66,104.27,"to get real about it it was kind of a it"
100.97,106.55,"was kind of an exact clone because I"
104.27,109.1,"actually didn't shoot a den Daniel"
106.55,111.83,"schipper shot it that's why it looked"
109.1,116.50999999999999,"like Daniel Shefford b-roll dude how"
111.83,118.13,"dope was that pretty good come on what's"
116.51,120.71000000000001,"up everybody Peter McKinney here welcome"
118.13,124.33999999999999,"back to yet another video here with my"
120.71,139.87,"friend none other than Daniel shipper"
124.34,139.87,"[Music]"
139.93,143.6,"Daniel bonds work how efficient was that"
143,144.89,"Daniel"
143.6,146.72,"how're you doing today I'm doing"
144.89,148.39999999999998,"fantastic how are you I'm great ok so"
146.72,150.56,"Dan's got a funny story how long you"
148.4,153.5,"been doing YouTube I don't actually know"
150.56,157.48,"like three years okay in the filmmaking"
153.5,160.28,"stuff okay what got you into it uh you"
157.48,162.41,"that's cool yeah you've ever seen any of"
160.28,166.04,"Daniel shippers work you know that he is"
162.41,168.59,"a master of shooting b-roll and also"
