start,end,text
0.03,3.659,"what's up everybody Peter McQueen here"
1.8,5.4,"is up everybody Peter McKinnon here and"
3.659,7.23,"today we're that's kind of kind of my"
5.4,9.269,"thing it's kind of a one-man job"
7.23,10.530000000000001,"I thought like I just I thought I could"
9.269,12.66,"do it to know I don't really know that"
10.53,16.439999999999998,"but now it's like wow I'm going to keep"
12.66,17.94,"doing it all right actually they love it"
16.44,19.439,"when you have one when I don't do it"
17.94,21.630000000000003,"they only get more like why didn't you"
19.439,23.67,"do it and okay yeah no yeah then I'll"
21.63,24.779,"just sit there and chill I'll just sit"
23.67,27.630000000000003,"here and wait it out"
24.779,29.609,"what's this wicked okay I mean keep"
27.63,30.66,"going what's up everybody Peter"
29.609,32.399,"MacKinnon here and today we're talking"
30.66,39.84,"about how to clone yourself you're"
32.399,41.61,"throwing me off like what is going on"
39.84,43.469,"everybody so good to see all your"
41.61,45.42,"smiling faces back here for another"
43.469,47.25,"teacher McKinnon tutorial that's on this"
45.42,48.870000000000005,"one this one's a fun one it's a little"
47.25,50.16,"quirky but it kind of falls into that"
48.87,51.959999999999994,"same realm it's like the how to make"
50.16,54.059,"stuff float photo like it's it's not"
51.96,56.01,"necessarily like a really popular thing"
54.059,57.809,"that's done all the time that you see"
56.01,59.43,"over and over and over and over I'm sure"
57.809,62.43,"a lot of you have seen it done before"
59.43,64.229,"it's not new it's this is a Joel to"
62.43,65.43,"learn this so long ago but it's one of"
64.229,67.38,"those things that's just fun to"
65.43,69.03,"reincorporate or find new ways to"
67.38,70.439,"breathe new life into and just get"
69.03,72.06,"creative with it so I'm going to teach"
70.439,74.00999999999999,"you guys how to do it both in Premiere"
72.06,75.68900000000001,"and in Photoshop scuzz you can do it"
74.01,78.27000000000001,"both with video like you guys saw in the"
75.689,79.79899999999999,"intro and you can do it in Photoshop for"
78.27,81.42,"photos so if you've got kids and you"
79.799,82.95,"want to make a really cool creative kind"
81.42,84.78,"of scene you can place them all over the"
82.95,87.03,"room doing different things or find"
84.78,88.68,"Chloe's to advertise it's kind of the"
87.03,90.42,"sky's the limit it's kind of like it's"
88.68,91.65,"up to your imagination as to what you"
90.42,93.57000000000001,"want to do with it I'm just going to"
91.65,95.34,"give you the the rundown of how it works"
93.57,97.19999999999999,"because it's like super easy to do"
95.34,99.18,"doesn't take very long at all okay so"
97.2,100.799,"let's jump into it let's start with"
99.18,102.659,"video I'm going to show you guys the"
