start,end,text
0.06,4.2299999999999995,"what's up everybody today we're talking"
2.52,6.99,"about how to make objects look like"
4.23,8.940000000000001,"they're floating and no Hogwarts"
6.99,14.179,"required them so that's a terrible joke"
8.94,14.178999999999998,"it sounded better when I'm yeah intro"
17.06,21.18,"okay there's a few ways to do this"
19.08,22.799999999999997,"there's a really easy way you just take"
21.18,24.15,"like two hundred photos until you get"
22.8,25.98,"the one you like or if you're in a"
24.15,29.22,"studio or house your apartment your lot"
25.98,30.630000000000003,"your flat your school your kitchen and"
29.22,32.91,"whatever there's a couple things you can"
30.63,35.55,"buy to make it easier tape fishing lines"
32.91,37.07899999999999,"command hook bathtub rod so what do you"
35.55,38.55,"do with all these objects essentially"
37.079,40.05,"we're trying to make an object look like"
38.55,41.79,"it's floating like I said earlier you"
40.05,43.05,"can literally toss it up a bunch of"
41.79,44.94,"times and with the camera that has"
43.05,46.89,"really fast shutter if you can just snap"
44.94,48.539,"that photo until you're happy with what"
46.89,49.980000000000004,"you get sometimes that's what I do if"
48.539,51.629000000000005,"I'm outside I have nowhere to hang"
49.98,53.879,"something I'll just throw it up in the"
51.629,56.699,"air 200 times until I get one that I"
53.879,58.019999999999996,"like done a bit time-consuming now for"
56.699,59.969,"those of us who want to put a little"
58.02,62.309000000000005,"more time into it and control the"
59.969,64.619,"atmosphere in the overall outlook of the"
62.309,67.38,"photo you can hang it and then you go"
64.619,69.09,"into Photoshop after you would Photoshop"
67.38,70.229,"out of that fishing line okay if you"
69.09,73.29,"don't have anywhere to hang something"
70.229,75.06,"use the bathtub rod extend it stick it"
73.29,76.89,"between two walls stick it between the"
75.06,79.5,"door frames stick it between whatever"
76.89,82.049,"something so that you have an anchor"
79.5,83.729,"point to tie and hang some fishing lines"
82.049,85.799,"if you don't want to do the bathtub rod"
83.729,87.39,"you can buy these command hooks just"
85.799,89.369,"grab some fishing line thread it through"
87.39,91.43900000000001,"that command hook put that sticky tab on"
89.369,93.15,"it stick it to the ceiling stick it to"
91.439,94.86,"your door frame pull on it to make sure"
93.15,96.299,"it's tight it's good to go let's just"
94.86,98.13,"say because I'm obsessed with coffee"
96.299,100.409,"we're going to float you guessed it a"
98.13,102.509,"coffee mug tie the fishing line to the"
100.409,104.909,"mug make sure it's not going to fall add"
