start,end,text
1.77,12.24,"and today we're talking about how to"
3.689,13.59,"make your photos look better fast okay"
12.24,15.36,"so you don't when you get home somewhere"
13.59,17.039,"you've been taking photos maybe vacation"
15.36,19.35,"maybe trip hanging out with friends and"
17.039,22.68,"you load that photo on your computer and"
19.35,24.840000000000003,"you're like oh this looks so good throw"
22.68,27.09,"it up on the social Facebook Instagram"
24.84,28.8,"people are double tap and that IG hearts"
27.09,30.96,"are flowing and you're just feeling good"
28.8,32.82,"about yourself ready for sunset and it's"
30.96,34.77,"just so beautiful and then there's"
32.82,35.85,"sometimes you get home and you open that"
34.77,40.02,"photo up on your computer and you're"
35.85,42.75,"like I remember this being way better"
40.02,45.57,"when I was there promise so these are"
42.75,47.67,"some basic editing skills basic editing"
45.57,49.739,"skills that you can do on your"
47.67,52.92,"photographs at home at any time using"
49.739,55.07899999999999,"Photoshop I'm using Photoshop CC so go"
52.92,57.03,"ahead head over to Adobe and download"
55.079,58.739000000000004,"the trial of that or sign up for their"
57.03,60.629000000000005,"subscription base to service which is"
58.739,62.788999999999994,"what I do and you pay a monthly fee to"
60.629,65.309,"basically own all of their apps that's"
62.789,68.04,"what I recommend we can take a mundane"
65.309,70.25,"photo that looks like this and turn it"
68.04,73.38000000000001,"into something that looks like this in"
70.25,74.909,"pretty much like 10 minutes maybe even"
73.38,75.92999999999999,"faster if you do this thing on a daily"
74.909,77.7,"basis like I do"
75.93,79.38000000000001,"okay so we've dragged our photo into"
77.7,82.619,"Photoshop and here we are we are hit"
79.38,85.19999999999999,"with the Camera Raw plug-in that pops up"
82.619,86.549,"and says hey this is a raw file what do"
85.2,88.08,"you want to do you want to just open the"
86.549,89.72900000000001,"image as is do you want to tweak it a"
88.08,91.979,"little bit here with Camera Raw and then"
89.729,93.06,"open it and this is where you might say"
91.979,94.79899999999999,"to me Pete well what's the difference"
93.06,96.42,"between editing and doing everything"
94.799,98.4,"you're about to show me in Lightroom"
96.42,100.979,"instead of using Lightroom and Photoshop"
98.4,103.2,"we're using Camera Raw and Photoshop"
100.979,104.88,"yeah you can do everything in Lightroom"
103.2,107.159,"you can do everything in Photoshop it's"
104.88,109.40899999999999,"all about workflow what programs you"
107.159,111.63000000000001,"like better I like using them both photo"
109.409,113.97,"shops more of like a photo manipulator"
111.63,116.46,"where you can I don't like that guy's"
113.97,119.52,"face I'm going to put his face on his"
116.46,121.02,"face great for that kind of thing"
119.52,122.729,"but I like using them both in"
121.02,124.38,"conjunction with one another and I'm"
122.729,126.96,"going to show you how I do it right here"
124.38,127.94999999999999,"doesn't take long don't be nervous or"
126.96,130.649,"like oh this is"
127.95,132.12,"10 it's intense if you don't pay"
130.649,135.269,"attention but no we're going to rip"
132.12,137.22,"through this so Camera Raw I'm just"
135.269,139.709,"going to tweak the exposure bring up the"
137.22,141.06,"contrast a little bit highlight you'll"
139.709,143.61,"see in the mountain there at the top I"
141.06,144.959,"drag them all the way to the right they"
143.61,146.67000000000002,"blow out if I bring them all the way"
144.959,150.42000000000002,"down it's a little too dark but I'm"
146.67,153.45,"happy kind of just just a little south"
