start,end,text
1.829,4.44,"and today we are talking about how to do"
4.2,7.74,"it"
4.44,11.759,"cinemagraph cinematography photography"
7.74,13.620000000000001,"photographs cinema cinema graph C where"
11.759,21.72,"C where someone was really thinking"
13.62,23.939,"about that real hard P what's the cinema"
21.72,25.56,"graph I will tell you cinema graph is"
23.939,27.3,"essentially an image where a small part"
25.56,29.549999999999997,"of that image is moving the reason I"
27.3,31.8,"think cinema graphs are so badass is"
29.55,35.01,"because of this for the longest time"
31.8,35.94,"it's kind of been photos or video now"
35.01,38.04,"there are two very different things"
35.94,39.69,"under the same umbrella in the same"
38.04,41.129,"universe but you know you've got your"
39.69,42.718999999999994,"guys that just do photos you got your"
41.129,44.25,"guys are just doing video some people do"
42.719,45.57,"them both but it's always kind of been"
44.25,46.92,"one or the other you're going to go"
45.57,48.809,"shoot footage that day you're going to"
46.92,50.160000000000004,"go you know polished your cinematography"
48.809,52.199,"skills or you're going to go shoot"
50.16,53.849999999999994,"portraits that stay with your with your"
52.199,56.699,"still shots and that kind of thing"
53.85,58.559,"so now we can actually match those two"
56.699,60.93,"things together into a cinema graph we"
58.559,63.32899999999999,"get the best of photos and the best of"
60.93,64.68,"video into a whole new thing that starts"
63.329,66.57000000000001,"making you think different when you look"
64.68,68.49000000000001,"at a subject example let's say I'm"
66.57,70.439,"pouring coffee that might be a cool shot"
68.49,72.6,"might be a cool video but now we've got"
70.439,74.63999999999999,"another option might be a cool cinema"
72.6,77.1,"graph where I'm perfectly still in the"
74.64,79.47,"photo but the coffee is pouring out of"
77.1,81.80999999999999,"the chemic super super interesting way"
79.47,84,"to look at something you throw that up"
81.81,84.68900000000001,"on your website not many people see"
84,86.43,"those things"
84.689,88.979,"I mean we're visual artists right we"
86.43,90.75,"work with cameras we work with video on"
88.979,92.49,"a daily basis we're plugged into this"
90.75,94.829,"kind of thing but for people that aren't"
92.49,96.78,"in the know or in the industry or in the"
94.829,98.99,"biz as they say they look at a cinema"
96.78,101.729,"graph and they're like whoa what is this"
98.99,104.07,"what is this magic that I'm seeing"
101.729,105.84,"he's the is that a it's just a really"
104.07,107.63999999999999,"cool thing that not many people have"
105.84,109.799,"been exposed to yet because they're kind"
107.64,111.42,"of taken off if you will all the cool"
109.799,113.549,"kids are doing it so I'm going to teach"
111.42,115.649,"you guys how to do it right now using"
113.549,117.509,"coffee as a perfect example because I"
115.649,120.149,"need my afternoon pick-me-up and let's"
117.509,121.29,"be honest I'm addicted okay so a couple"
120.149,123.06,"things are going to need if you're going"
121.29,126.06,"to do this is a tripod what your"
123.06,127.38,"shooting needs to be perfectly still you"
126.06,129.45,"can balance your camera on a cow"
127.38,131.7,"or in a chair using books and a bunch of"
129.45,133.58999999999997,"stuff like that but to get the best"
131.7,135.51,"result you're going to want to have a"
133.59,137.13,"tripod if it's the really lightweight"
135.51,139.44,"tripod you're going to want to hang some"
137.13,141.269,"kind of a sandbag or a weight or a"
139.44,143.55,"backpack filled with books something in"
141.269,145.019,"it so that that tripod is not going"
143.55,146.67000000000002,"anywhere it's not going to sway it's not"
145.019,149.13,"going to move someone walks by it it's"
146.67,150.45,"just a very sturdy stable surface for"
149.13,152.97,"your camera second thing you're going to"
150.45,154.92,"need obviously is a camera that does"
152.97,157.14,"video so you can use your smartphone for"
154.92,158.94,"that you can use your DSLR or any type"
157.14,161.04,"of video camera that you have and we're"
158.94,162.9,"going to use that to film the scene to"
161.04,165.32999999999998,"make the cinema graph so for me I'm"
162.9,166.59,"using a DSLR and it doesn't really"
165.33,168.299,"matter don't worry about the video"
166.59,170.22,"quality or what frame rate was shooting"
168.299,172.41,"at yet we just need a camera that can"
170.22,174.63,"record the video that sits on a tripod"
172.41,176.489,"we're going to start there now we are"
174.63,178.5,"going to create the cinema graph and"
176.489,180.87,"what we need to buy q I feel like I've"
178.5,182.579,"said cinemagraph a thousand times I need"
180.87,184.14000000000001,"to stop saying cinema I need to stop"
182.579,186.72,"saying okay so let me do is I'm going to"
184.14,188.42999999999998,"pour this coffee into this mug and the"
186.72,190.92,"photograph is the frame that you're"
188.43,192.51000000000002,"seeing and the cinematography aspect is"
190.92,193.319,"what I'm going to isolate and we bring"
192.51,195.66,"this in the post"
193.319,197.73,"so the actual coffee that's pouring out"
195.66,199.26,"of the Chemex ran out into the cup is"
197.73,202.14,"going to be the only thing that's moving"
199.26,204.32899999999998,"when I actually bring this into post so"
202.14,206.48899999999998,"whatever you end up shooting you need to"
204.329,208.26000000000002,"look for that link of motion via that"
206.489,210.12,"it's coming from the tap will be that"
208.26,212.63899999999998,"it's the palm trees or some kind of"
210.12,214.889,"motion with the wind or the weather but"
212.639,216.75,"the link you want to make is in this"
214.889,218.67000000000002,"instance the coffee flowing out of the"
216.75,220.739,"Chemex into the mug let's take that into"
218.67,222.48,"post and see what it looks like okay so"
220.739,224.01,"step one is complete we shot what we"
222.48,225.89999999999998,"needed to shoot in order to get the"
224.01,226.85899999999998,"footage for the cinema graph now we're"
225.9,228.75,"going to bring those files into"
226.859,231.09,"Photoshop and finish the rest off and"
228.75,233.94,"we're just thinking Photoshop that's for"
231.09,235.709,"photos and also this video and yes my"
233.94,238.2,"mind was also blown the first time I"
235.709,239.67000000000002,"realized that so first things first"
238.2,242.88,"let's take a look at the clip that we"
239.67,244.44,"are going to use today downstairs we"
242.88,247.5,"were making some coffee and we're just"
244.44,249.84,"going to do a little slow motion kind of"
247.5,252.09,"loop Coffee port not slow motion sorry"
249.84,253.98,"but Luke coffee port remember cinema"
252.09,256.5,"grass is going to be a photograph where"
253.98,257.25,"most of everything is still except for"
256.5,259.739,"one or two"
257.25,261.66,"two moving components of that image"
259.739,264.29999999999995,"which make up that kind of mash that we"
261.66,265.8,"talked it over for so for this we're"
264.3,267.75,"going to use this stream of coffee"
265.8,270.66,"everything else is going to be"
267.75,272.97,"completely still now it's important to"
270.66,275.19,"say I've already color graded this clip"
272.97,276.36,"so whatever you're going to use because"
275.19,277.62,"we're bringing it into Photoshop I know"
276.36,278.97,"you can adjust levels and stuff like"
277.62,281.16,"that with your video clips within"
278.97,282.99,"Photoshop but I like to do my color"
281.16,284.67,"grading in Premiere so I open up a"
282.99,287.31,"project I'm going to be using the cinema"
284.67,289.74,"graph in I found the clip that I wanted"
287.31,290.97,"I color graded it and I exported a 1080p"
289.74,293.1,"version of it which is what you're"
290.97,295.8,"looking at now so I recommend doing that"
293.1,297.57000000000005,"before you start so that when you bring"
295.8,300.21000000000004,"this clip into Photoshop it's exactly"
297.57,301.23,"how you want it to look before you get"
300.21,304.22999999999996,"going with everything that we're going"
301.23,305.76,"to do now okay so that being said grab"
304.23,308.46000000000004,"that clip drag it straight into"
305.76,310.11,"Photoshop and boom here we go"
308.46,315.03,"it's going to automatically open up this"
310.11,317.88,"timeline so now is the finicky part we"
315.03,320.64,"need to find an in and an out point of"
317.88,323.71999999999997,"this clip that's going to work just"
320.64,327.57,"right for making this loop infinite okay"
323.72,330.15000000000003,"so what I'm looking at is this area"
327.57,332.49,"right here because this stream of coffee"
330.15,335.31,"is going to be the only moving aspect of"
332.49,337.919,"this entire image so I need to find an"
335.31,341.04,"end point where in an out point where"
337.919,343.04999999999995,"that stream of coffee is the most steady"
341.04,345.03000000000003,"so if we look at the beginning here it's"
343.05,347.52000000000004,"not going to work because I'm tilting"
345.03,349.10999999999996,"that Chemex that's moving up as my wrist"
347.52,351.35999999999996,"goes up and then at the end I'm"
349.11,352.97900000000004,"finishing off that pour there's too much"
351.36,356.07,"movement so I need something in the"
352.979,357.78,"middle where that stream isn't moving so"
356.07,361.11,"if you scrub along with this playhead"
357.78,363.15,"this looks pretty good right in here so"
361.11,365.52000000000004,"if I start there I'm going to go to the"
363.15,367.919,"beginning of this clip grab those black"
365.52,370.89,"left and right arrows click hold it down"
367.919,373.169,"and drag all the way to that red"
370.89,375.93,"playhead and unfold it makes that the"
373.169,377.28,"first frame magic now what you're going"
375.93,379.74,"to do is you're going to find your"
377.28,382.83,"ending frame so this looks pretty good"
379.74,385.11,"there's not much movement here that that"
382.83,387.06,"starts to dip right about there I'm"
385.11,388.11,"going to go back a couple frames grab"
387.06,391.83,"this end"
388.11,393.78000000000003,"I'm going to bring that to the end click"
391.83,396.18,"on this little gear over here on the"
393.78,397.83,"left and make sure loop playback is"
