start,end,text
4.33,8.189,"[Music]"
6.95,13.259,"Sariah"
8.189,15.120000000000001,"buy a new lock keys don't eat those"
13.259,17.07,"I try to see if I can pick it to see how"
15.12,18.63,"you know a stronger lock is now this is"
17.07,19.68,"a love of five master lock that's"
18.63,20.16,"supposed to be you know middle of the"
19.68,23.759999999999998,"road"
20.16,27.34,"let's throw my tension rod in here this"
23.76,30.109,"is my favorite pick and the timer begins"
27.34,35.46,"[Music]"
30.109,39.809,"just few it was that like eight seconds"
35.46,43.94,"level five master lock garbage don't"
39.809,43.94,"bother buying one come on"
44.64,54.59,"[Music]"
55.25,60.59,"I'd like my mother is so sick Oh welcome"
58.46,62.93,"back guys so great to have you here for"
60.59,63.11000000000001,"another tutorial today I'm very excited"
62.93,65.089,"about"
63.11,67.64,"I've been asked for another Lightroom"
65.089,68.99,"tutorial since well my last flight room"
67.64,71.479,"tutorial which I think was like last"
68.99,73.28,"summer it's funny too because it's one"
71.479,75.5,"of the programs that I literally use"
73.28,77.09,"every single day I'm editing photos"
75.5,78.68,"every single day I mean a lot of people"
77.09,80.75,"just kind of use it here and there and"
78.68,81.83000000000001,"you fire it up and fix the photo up and"
80.75,83.72,"they maybe you don't use it for a couple"
81.83,85.46,"weeks but there are so many features"
83.72,87.32,"within Lightroom and we're talking"
85.46,88.97,"Lightroom classic CC that's what it's"
87.32,91.97,"called now there are so many features"
88.97,93.619,"inside this application that I mean I"
91.97,95.39,"don't think even half the amount of"
93.619,97.009,"people are taking advantage of and I can"
95.39,98.81,"say that because for like the first few"
97.009,100.759,"years I used the software I didn't use"
98.81,103.22,"any of these things now I'm using them"
100.759,104.78,"all so today's video is 10 tips in"
103.22,106.22,"Lightroom and you didn't know about that"
104.78,107.63,"now you're going to know about that"
106.22,109.46,"you're gonna use every single day and I"
107.63,111.11,"would have made that the title but I"
109.46,113.57,"just don't think that would be good for"
111.11,121.1,"the algorithm okay let's start off with"
113.57,123.19999999999999,"number one okay number one is Auto tone"
121.1,124.90899999999999,"now this is a great way to begin editing"
123.2,126.17,"your photos especially if you're newer"
124.909,128.299,"to the software you don't have an"
126.17,129.799,"extensive knowledge base yet of the"
128.299,130.79000000000002,"software platform but you kind of want"
129.799,133.04000000000002,"to get going you're not sure where to"
130.79,134.6,"start Auto tone is a great place to"
133.04,136.489,"start not many people know about this"
134.6,138.38,"some of you may that's super cool but"
136.489,140.45000000000002,"you're just going to come on up here to"
138.38,142.31,"where it says exposure now if you notice"
