start,end,text
0.03,8.76,"ah guys my arm it's still just like oh I"
5.609,11.370000000000001,"feel like I got it stuck in like an"
8.76,13.27,"industrial panini press and it was just"
11.37,23.039,"like"
13.27,25.09,"[Music]"
23.039,26.830000000000002,"what's up everybody Peter be kidding"
25.09,28.93,"here welcome back to yet another video"
26.83,31.418999999999997,"it's Monday morning we are ready to go"
28.93,33.61,"new month new opportunities and with"
31.419,37.36,"that today we will be talking about how"
33.61,39.43,"you can make $3,000 this month like this"
37.36,40.92,"month with photography that's that's you"
39.43,45.43,"can use that to buy a new camera"
40.92,47.11,"Netflix nerf guns lots of coffee I was"
45.43,48.699,"gonna say illegal things but that just"
47.11,50.86,"would not be responsible let's just say"
48.699,52.659,"you can do a lot of things with $3,000"
50.86,55.33,"we're gonna show you how to make that"
52.659,56.92,"and more with this video so my friend"
55.33,58.629,"Chris Howe who runs a business is gonna"
56.92,60.75,"sit down and we're gonna go over some"
58.629,63.79,"methods some ways and points some tips"
60.75,65.89,"so you are up and running making money"
63.79,69.22,"in no time so with that being said I"
65.89,71.52,"guess I should move over and yeah I'll"
69.22,75.189,"just cut frame and he'll be here that's"
71.52,77.40899999999999,"that's better okay so we're here with"
75.189,79.80999999999999,"Chris how Chris is a fellow youtuber and"
77.409,82,"runs not just a great channel but also"
79.81,84.13,"has a successful business basically"
82,85.18,"running a production house for photo and"
84.13,87.64,"video you give me like a quick"
85.18,90.159,"two-second rundown what that is so"
87.64,91.749,"everyone's like okay cool yeah so my"
90.159,93.57900000000001,"name is Chris how my company name is"
91.749,94.83999999999999,"know how media that's our little puns"
93.579,95.94999999999999,"and we have people here right they're"
94.84,97.899,"like oh that's that's fun you're"
95.95,99.64,"creative that's nice"
97.899,101.53,"we do video production for companies"
99.64,102.909,"like mercedes-benz Toyota Corona things"
101.53,104.82900000000001,"like that we do commercial work and"
102.909,106.96000000000001,"marketing campaigns and viral things"
104.829,109.17899999999999,"like that so on top of doing the YouTube"
106.96,111.06899999999999,"stuff we also run that with my fiancee"
109.179,113.649,"Lizzie Pierce and that is life outside"
111.069,115.179,"of YouTube that was like literally 35"
113.649,116.92,"seconds that's amazing I bet you"
