start,end,text
2.81,9.66,"almost cinema series Oh"
7.77,12.92,"it's like a nice easy sticker to open"
9.66,19.64,"that's just use my eyeballs next time"
12.92,24.21,"sticker instructions fancy lens cloth"
19.64,25.25,"soft case with built-in lens cloth oh"
24.21,28.619,"yeah"
25.25,34.82,"super soft hard case like the softest of"
28.619,34.82,"cases inside you have the money item"
35.12,41.699999999999996,"check out these tasty courts line nd"
38.37,43.459999999999994,"filters delicious look at that mm nd1000"
41.7,46.02,"that's like pure black you take this"
43.46,48.120000000000005,"place it into your hand it completely"
46.02,48.809000000000005,"vanishes and then you are did you're"
48.12,50.73,"done you're good to go"
48.809,52.89,"you got you got nothing that's that's"
50.73,55.5,"the way I store my filter system you"
52.89,79.35,"know save bag space"
55.5,81.6,"[Music]"
79.35,83.66999999999999,"what's up everybody Peter McKinnon you"
81.6,85.14,"here and welcome back to yet another two"
83.67,86.64,"minute Tuesday it's so great to have you"
85.14,89.07000000000001,"here and see all of your smiling faces"
86.64,91.35,"guess what I'm gonna try and make you a"
89.07,93.3,"promise today I might break it I might"
91.35,94.5,"not I'm gonna try and stick you two"
93.3,96.42,"minutes and I'm gonna do that by"
94.5,100.2,"committing right now by putting two"
96.42,101.82000000000001,"minutes on the clock let's go okay so"
100.2,103.979,"today we're talking about how to make"
101.82,106.16999999999999,"your photos and your videos more"
103.979,108.24,"professional and you're gonna do that by"
106.17,109.83,"using filters in front of your lens"
108.24,111.479,"there are so many different types of"
109.83,113.369,"filters that you can screw onto your"
111.479,114.899,"lenses you can even magnetized to some"
113.369,116.94,"of your lenses depending on the mounts"
114.899,118.619,"but these are going to give you drastic"
116.94,123.6,"changes both when you're shooting photos"
118.619,125.67,"and when you're shooting videos now we"
123.6,127.5,"talked about nd filters before and"
125.67,129.119,"that'll be the biggest change that you"
127.5,130.769,"have when you're shooting videos having"
129.119,132.66,"nice depth of field in the background"
130.769,135.54,"like we have right now where it's smooth"
132.66,137.43,"and creamy and delicious and it's very"
135.54,139.59,"blown out it's a very shallow depth of"
137.43,141.03,"field that is a very professional look"
139.59,142.53,"that a lot of people want now when"
141.03,144.269,"you're outside and it's super bright"
142.53,145.98,"usually when you're shooting at a very"
144.269,147.39000000000001,"wide open aperture and if you don't know"
145.98,149.16,"what that means you can check this video"
147.39,150.86999999999998,"here which is camera basics you want to"
149.16,153.269,"shoot at that wide open aperture to get"
150.87,154.68,"that nice soft shallow background but if"
153.269,156.989,"you're outside and it's so bright and"
154.68,158.76000000000002,"you open up that lens to let tons of"
156.989,160.20000000000002,"light in well it's already too bright"
158.76,161.82,"and now you're letting even more light"
160.2,163.5,"in so how is that gonna work that's when"
161.82,165.42,"you put an ND filter over the front of"
163.5,167.61,"your lens and the best way to explain it"
165.42,170.25,"is like sunglasses for your camera"
167.61,172.62,"everyone uses that analogy for a very"
170.25,174.66,"specific reason so check this out let's"
172.62,176.22,"say we're outside right now this shot"
174.66,176.88,"that you're looking at that's how I want"
176.22,178.709,"it exposed"
176.88,181.049,"we're at one point for that lens is wide"
178.709,181.47,"open nothing's shallow it doesn't look"
181.049,183.239,"good"
181.47,185.28,"you'll see as I just move this piece of"
183.239,187.769,"glass this ND filter in front of the"
185.28,190.519,"lens look how much better that looks now"
187.769,196.26,"we have that professional look outside"
190.519,198.36,"despite how bright it is I just realized"
196.26,201.17999999999998,"I didn't actually tell you the reason"
198.36,203.34,"you need an ND outside for video while"
201.18,205.44,"I'm editing this so really quick a"
203.34,208.47,"little caveat so that this all makes"
205.44,210.359,"sense is when you're shooting video you"
208.47,212.97,"want to maintain your shutter angle"
210.359,213.51000000000002,"meaning you want to shoot video double"
212.97,215.73,"your"
213.51,217.64999999999998,"so that it looks the smoothest when it"
215.73,219.42,"comes to motion blur if you're not"
217.65,221.909,"shooting double your frame rate the"
219.42,223.85999999999999,"motion blur isn't natural so it feels"
221.909,225.32999999999998,"jittery and it just looks weird and"
223.86,227.34,"people watching your videos and your"
225.33,229.44000000000003,"films will just think this looks a bit"
227.34,231.629,"choppy or interesting and that's because"
229.44,233.099,"your shutter speed is not matched to"
231.629,234.92999999999998,"your frame rate so if we're shooting at"
233.099,236.97,"24 frames a second and we're shooting"
234.93,239.97,"video on a DSLR we're gonna move our"
236.97,242.67,"shutter speed to 1 over 50th of a second"
239.97,244.29,"and you always want to keep it there you"
242.67,246.35999999999999,"can compensate for the brightness"
244.29,248.97,"outside by cranking that shutter up to"
246.36,251.19000000000003,"you know 1 250th and it would look fine"
248.97,253.799,"on your screen but then that motion blur"
251.19,256.139,"won't look good so you have to keep that"
253.799,258.12,"shutter speed at one fiftieth but herein"
256.139,259.85900000000004,"lies the problem that the footage is"
258.12,261.98900000000003,"just too bright it just doesn't look"
259.859,264.06,"good which is why you slide the ND"
261.989,267.23999999999995,"filter over the lens which basically"
264.06,269.28000000000003,"exposes everything properly another"
267.24,271.68,"reason why cinema cameras are so"
269.28,273.63,"expensive because they have built-in ND"
271.68,275.52,"filters don't even need anything over"
273.63,278.4,"them I'm shooting on one right now for"
275.52,280.44,"example where's the button where is it"
