start,end,text
0.196,1.042,"- What's up guys?"
1.042,3.096,"Today, we're talking color correction"
3.096,4.529,"and how to make your footage look"
4.529,6.944,"more Hollywood and cinematic."
6.944,9.527000000000001,"(techno music)"
21.607,22.863,"It's pretty easy to do."
22.863,23.695999999999998,"I'm sure a lot of you already"
23.696,26.269000000000002,"do color correction and have heard of color correction."
26.269,28.628,"If you haven't, you should have."
28.628,30.068,"You're in the right place."
30.068,31.908,"I'm gonna take you through my workflow"
31.908,33.99,"and what I do from shoot to edit."
33.99,35.556000000000004,"So from what the footage looks like"
35.556,36.757,"coming out of the camera"
36.757,39.86,"to the finished piece that I deliver to a client"
39.86,41.206,"or for one of my own videos,"
41.206,42.746,"or something like that."
42.746,46.042,"Let's jump into Premiere and check out my workflow"
46.042,47.89,"for color correcting footage"
47.89,51.213,"to make your clips, my clips, everyone's clips"
51.213,53.544000000000004,"look a little more Hollywood and cinematic."
53.544,54.376999999999995,"Okay?"
54.377,55.689,"(finger snapping) Let's go."
55.689,58.592,"Okay, here we go. Color correction."
58.592,60.816,"We're using Premiere Pro CC."
60.816,63.64,"If you use Final Cut, they have plugins"
63.64,66.344,"you can get that give you some of the same options."
66.344,68.70599999999999,"We're gonna go ahead and find some clips."
68.706,71.19500000000001,"I put four aside, just some random stuff"
71.195,72.66699999999999,"I grabbed from little op cuts."
72.667,75.371,"We got a little panning of some trees"
75.371,76.258,"and some sun there."
76.258,79.777,"We got some creepy scientists doing who knows what."
79.777,82.273,"We got a forest, a little bit of depth."
82.273,85.313,"Blew some haze into that forest to give it that depth."
85.313,89.167,"And we have some just random B-roll of running water."
89.167,90.70100000000001,"This is actually the LA river."
90.701,92.029,"Let's start with that."
92.029,94.03699999999999,"Let's set our in and out points"
94.037,96.287,"to give us our clip length."
97.573,98.94099999999999,"Bring that into the timeline."
98.941,100.747,"Boom! Just like that."
100.747,103.261,"First, what I'm gonna do is unlink the audio,"
103.261,105.383,"Command-L, because I don't need that."
105.383,106.753,"I only want the video."
106.753,109.014,"And when there's an audio file but there's no audio"
109.014,110.91799999999999,"in that audio file I just like to delete it"
110.918,113.15100000000001,"so that I know what I'm working with."
113.151,114.30199999999999,"Here we go."
114.302,117.61500000000001,"You're gonna go up to Window and click Lumetri Color."
117.615,119.67099999999999,"It's gonna give you this tab on the right side here"
119.671,121.846,"with your exposures and contrasts,"
121.846,123.549,"shadows and whatnot."
123.549,125.884,"This is primarily what we're gonna be working with."
125.884,127.748,"It gives you creative options from the Creative tab,"
127.748,130.037,"it gives you curves, your color wheels,"
130.037,132.356,"your vignettes, all that kinda stuff,"
132.356,135.364,"but we're gonna work primarily with the basic correction."
135.364,137.148,"Gives you the use of LUTs,"
137.148,139.861,"and a LUT is short for Look Up Table."
139.861,141.063,"Essentially a preset,"
141.063,142.695,"so let's say one of your favorite artists"
142.695,144.088,"or someone that you know has"
144.088,146.704,"a certain look to their footage that you love"
146.704,149.303,"and want to use, they may or may not have"
149.303,151.527,"created a LUT for that which you can then apply"
151.527,153.165,"as a preset to your footage and"
153.165,154.44299999999998,"(finger snapping) Boom! There you go."
