start,end,text
0.03,2.9699999999999998,"what's up everybody Peter MacKinnon here"
1.829,4.5889999999999995,"and today we're talking about how you"
2.97,7.470000000000001,"can take photos that you've already"
4.589,9.469000000000001,"taken and animate them within Photoshop"
7.47,12.809000000000001,"bringing them to life making them almost"
9.469,13.349,"3d like it's super awesome it's a little"
12.809,15.57,"bit trippy"
13.349,23.43,"and it's actually really easy to do so"
15.57,26.130000000000003,"sois let's go welcome back everybody"
23.43,28.109,"Monday morning to another tutorial I'm"
26.13,30.06,"excited about this one this one is super"
28.109,32.189,"cool now I'll be the first to say this"
30.06,33.809,"is something I invented I didn't create"
32.189,35.82,"this method this has been done before"
33.809,37.8,"it's been done by so many people it's"
35.82,40.77,"been taught by so many people it's a"
37.8,43.019999999999996,"very popular effect to apply to your"
40.77,45.870000000000005,"photographs it's called the 2.5 D"
43.02,47.910000000000004,"parallax effect now before you think"
45.87,49.379,"this sounds confusing I don't know if"
47.91,51.209999999999994,"I'm going to like it or if you think I"
49.379,53.218999999999994,"already know how to do that here's the"
51.21,55.68,"thing there's so many ways to do the"
53.219,58.02,"same thing within this industry there's"
55.68,59.579,"hard ways to do it there's fast ways to"
58.02,62.34,"do it there's easy ways to do it but"
59.579,63.809,"there's so many roads to the same finish"
62.34,65.28,"line that's what's amazing so today"
63.809,67.77,"we're going to focus on the easier"
65.28,69.96000000000001,"method now the convoluted method would"
67.77,72.36,"be using After Effects and it gets a"
69.96,74.189,"little complicated but I think easing"
72.36,76.439,"you guys into this and starting you off"
74.189,77.90899999999999,"a little bit smaller more of like an"
76.439,79.47,"understanding of what it is that we're"
77.909,81.03,"doing and how the animation works and"
79.47,82.89,"how keyframes work and stuff like that"
81.03,85.77,"is going to help you when we get to the"
82.89,88.86,"more complicated version which is using"
85.77,90.75,"After Effects in my opinion ok so what"
88.86,92.49,"is this how what are we doing right here"
90.75,94.079,"so check out this image here's a picture"
92.49,96.17999999999999,"of me standing in front of Lake Louise"
94.079,99.05999999999999,"just checking it out now when you're"
96.18,101.009,"including images in video people really"
99.06,103.32000000000001,"only do a few things they either zoom"
101.009,105.899,"that image out slowly maybe zoom it in"
103.32,108.05999999999999,"slowly maybe pan left to right that Ken"
105.899,109.56,"Burns jazz effect you know you've seen"
108.06,111.45,"it but you don't really see anything"
109.56,113.97,"else so how do we edit videos and"
111.45,116.10000000000001,"include photos in those videos but make"
113.97,118.439,"it more exciting so you can do something"
116.1,120.329,"like this here's that same photo but now"
118.439,122.78999999999999,"the foreground is moving at a different"
120.329,125.42999999999999,"pace and transforming at a different"
122.79,126.93,"size than the background which is also"
125.43,129.03,"transforming and moving at its own pace"
126.93,131.58,"and size you see that weird"
129.03,133.3,"trippy it's not 3d but it's like almost"
131.58,135.76000000000002,"3d that to point"
133.3,137.71,"five D here's another example this is a"
135.76,139.51,"couple hours later a storm broke out"
137.71,141.34,"you got those mountains moving you get"
139.51,142.66,"the water expanding at a different rate"
141.34,145.45000000000002,"which almost makes it look like it's"
142.66,148.63,"moving it's just a really cool clever"
145.45,151.23999999999998,"unique way to display your photographs"
148.63,152.47,"within a video now you can post this on"
151.24,154.24,"Facebook too you can post these on"
152.47,157.78,"Instagram they don't have to be included"
154.24,160.93,"within another video like this but this"
157.78,163.06,"is a great way to display and showcase"
160.93,166.6,"your images within a video that's not"
163.06,168.64000000000001,"just that classic pan zoom whatever"
166.6,170.41,"super easy to do not as hard as you"
168.64,172.54,"think and the best part is it uses"
170.41,173.71,"images that you've already taken so"
172.54,175.32999999999998,"before we get started I want to thank"
173.71,177.01000000000002,"the sponsors of today's episode which"
