start,end,text
0.14,6.029,"[Music]"
3.23,7.890000000000001,"I've been a lot of places and taken a"
6.029,10.86,"lot of photos but one thing that I've"
7.89,14.428999999999998,"never enjoyed particularly within this"
10.86,15.87,"craft is nighttime photography something"
14.429,17.64,"I've struggled with I'll be honest with"
15.87,19.619,"that and it's just never really"
17.64,22.02,"interested me everything is different"
19.619,24.15,"the rules are completely different at"
22.02,26.369,"night and it's a whole different ball"
24.15,28.528999999999996,"game and if you're not comfortable with"
26.369,31.019,"your camera it's something that can be"
28.529,33.059,"intimidating for a lot of people for me"
31.019,35.64,"photography sort of just ends when the"
33.059,37.94,"Sun Goes Down but I'm trying to change"
35.64,37.94,"that"
42.53,48.289,"I think it's time for a tutorial yeah"
46.219,50.6,"that sounds about right I could get into"
48.289,53.39,"that maybe something like how to shoot"
50.6,55.25,"photos at night oh that's a good one"
53.39,58.719,"let's do that let's do how to shoot"
55.25,58.719,"photos at night"
59.64,64.25,"[Music]"
61.78,65.75,"what's up everybody Peter MacKinnon here"
64.25,68.6,"and today we're talking about how to"
65.75,70.82,"shoot photos at night and know it's not"
68.6,73.52,"as scary as you think it is now you see"
70.82,75.05,"for a lot of photographers and myself"
73.52,77.42,"included this is something that I"
75.05,80.81,"struggle with the second the Sun Goes"
77.42,83.479,"Down and it's nighttime photography ends"
80.81,85.67,"for me that's it as far as anything goes"
83.479,88.16,"with regards to shooting video or photos"
85.67,89.9,"I'm pretty much done I don't even think"
88.16,91.28,"about going out with my camera at night"
89.9,93.11,"I don't really enjoy going out with my"
91.28,95.42,"camera at night it's just more work it's"
93.11,96.92,"more the settings are they're confusing"
95.42,99.29,"and sometimes it just doesn't work how I"
96.92,100.94,"want it to work all of the time so I"
99.29,103.64,"don't go outside at night with my camera"
100.94,105.53,"fact now lately I've been going outside"
103.64,107.84,"a little bit more shooting with Alan"
105.53,109.91,"different people downtown and I've kind"
107.84,111.79,"of started to like it I've kind of been"
109.91,113.72,"like wow this is actually really really"
111.79,115.31,"interesting now you see what I've really"
113.72,117.44,"been enjoying about shooting at night is"
115.31,119.09,"everything feels different it's almost"
117.44,121.34,"like all the rules you know for being"
119.09,123.619,"comfortable shooting outside out the"
121.34,126.29,"window gone it's a whole new ballgame"
123.619,128.42,"it's a whole new world the city empties"
126.29,130.04000000000002,"itself that gets really quiet it's dark"
128.42,132.76899999999998,"it's just you and your camera and"
130.04,134.6,"there's lots of fun experimenting with"
132.769,136.85,"how to get the most unique angle the"
134.6,139.85,"most unique light finding light from"
136.85,141.92,"signs from neon signs from stoplights"
139.85,145.13,"and street lights and walk signs there's"
141.92,147.67999999999998,"so much to play with so if anybody here"
