start,end,text
1.8,4.98,"and today we're talking about how you"
2.79,7.17,"can start shooting better handheld"
4.98,15.089,"footage without a stabilizer a tripod"
7.17,16.92,"nothing just you okay so one of the"
15.089,19.619,"things I get asked a lot and I see it a"
16.92,20.76,"lot comment just general inquiries about"
19.619,22.259999999999998,"this kind of thing is what kind of"
20.76,24.48,"stabilizer do you use or what kind of"
22.26,26.519000000000002,"monopod do you use earth how can I get"
24.48,28.8,"smoother footage or how can I track"
26.519,30.72,"objects better your b-roll is really"
28.8,32.85,"smooth how do you do that and how do I"
30.72,35.309,"do it so I put together a couple tips"
32.85,38.010000000000005,"with a few examples using some b-roll of"
35.309,41.099999999999994,"how I get smoother footage without the"
38.01,43.53,"use of a tripod or a slider or a 3-axis"
41.1,45.21,"gimbal or a glide cam none of that we're"
43.53,47.07,"going to cover those things in another"
45.21,49.829,"video but I wanted to preface that video"
47.07,51.6,"with this by saying you don't need to"
49.829,54.11,"have all those things to get smooth"
51.6,56.370000000000005,"great-looking footage now they help"
54.11,57.899,"absolutely and a lot of the times they"
56.37,59.519999999999996,"do make your life easier but at the same"
57.899,60.6,"time not everybody has those things"
59.52,62.160000000000004,"sometimes we're really expensive"
60.6,64.049,"sometimes they're more of a nuisance to"
62.16,66.53999999999999,"have to lug around and drag through the"
64.049,67.86000000000001,"woods up a cliff and pack your car and"
66.54,69.33000000000001,"try to get your friends in at the same"
67.86,71.04,"time it's just easier to grab your"
69.33,72.81,"camera and go so these are a few of the"
71.04,74.82000000000001,"techniques that I use when I want to"
72.81,77.79,"stabilize my footage without having to"
74.82,78.75,"use all of this extra equipment okay so"
77.79,79.86,"the first thing you're going to want to"
78.75,81.33,"do when you're holding your camera to"
79.86,83.61,"shoot handheld is you want to hold it"
81.33,85.14,"with two hands now you'd be surprised a"
83.61,86.88,"lot of people just shoot like this and"
85.14,88.47,"they're like that whatever I got it but"
86.88,91.439,"you want two hands on there it's going"
88.47,92.46,"to be a much more stable grip a second"
91.439,94.58999999999999,"is you don't want to have your arms"
92.46,95.82,"extended you don't have as much core"
94.59,97.89,"strength when you're shooting this way"
95.82,99.36,"trying to adjust settings it's a lot"
97.89,101.82000000000001,"easier you're going to get way better"
99.36,104.1,"results if you pull that camera into"
101.82,107.22,"your chest and lock your elbows in think"
104.1,108.72,"about moving as one instead of all these"
107.22,110.90899999999999,"different things moving okay instead of"
108.72,113.15899999999999,"having a camera move and your wrists"
