start,end,text
0.03,3.5399999999999996,"what's going on everybody Peter McKinney"
1.74,6.359,"here and today we're talking about how"
3.54,15.66,"you can start crushing your Instagram"
6.359,17.789,"game just crush it so Instagram more"
15.66,21.39,"than just an app well no it's just an"
17.789,23.369,"app however 2017 Instagram is"
21.39,25.8,"technically like your online portfolio"
23.369,27.599,"these days as far as photography goes"
25.8,29.099,"and in some cases video as well making"
27.599,31.59,"sure that your Instagram account is good"
29.099,32.969,"and updated and on point very important"
31.59,34.649,"imperative so these are some tips that"
32.969,36.57,"I'm going to give you guys some little"
34.649,37.829,"bit of an outline a guide if you will on"
36.57,40.230000000000004,"how you can start crushing that"
37.829,42.42,"Instagram game can fold from the time"
40.23,43.919999999999995,"you stop watching this video up onward"
42.42,45.870000000000005,"so the funny thing is back in the day"
43.92,47.969,"for someone to see port folio you'd"
45.87,49.709999999999994,"bring them an actual book like a binder"
47.969,51.21,"of your shots print it out and they'd"
49.71,51.78,"flip through them nobody really does"
51.21,54.809,"that anymore"
51.78,57.36,"now you're judged based on your online"
54.809,59.399,"presence as an artist as a photographer"
57.36,60.57,"is a cinematographer filmmaker people"
59.399,62.399,"are going to go to your account oh"
60.57,63.78,"so-and-so is a good photographer yeah"
62.399,66.119,"check out its stuff they're going to go"
63.78,67.92,"to whatever social media presence that"
66.119,69.99,"they enjoy the most"
67.92,71.67,"Instagram being one of the most popular"
69.99,73.55999999999999,"it's going to look you up and they're"
71.67,74.76,"going to look at those first nine photos"
73.56,76.59,"and they're going to make a snap"
74.76,78.9,"judgment whether they think you're a"
76.59,80.49000000000001,"good photographer or a bad photographer"
78.9,82.17,"and it's all in how we present those"
80.49,84.21,"first nine photos and all the tips that"
82.17,86.58,"I'm going to talk about today to help"
84.21,88.40899999999999,"you crush that game to make sure you are"
86.58,90.479,"getting the most out of your social"
88.409,92.93900000000001,"media and the most out of presenting"
90.479,94.74,"yourself online and I want to take a"
92.939,96.63,"quick minute to save today's sponsor for"
94.74,99.119,"this episode Squarespace if you need a"
96.63,101.729,"website a blog a store and online"
99.119,102.93,"presence leads two guys to go to using"
101.729,104.939,"them for years it's an all-in-one"
102.93,106.259,"platform where everything's taken care"
104.939,109.40899999999999,"of for you too something to patch"
106.259,111.99,"install upgrade ever gone are the days"
109.409,114.03,"they have tons of award-winning designer"
111.99,116.31,"templates to choose from award-winning"
114.03,117.42,"customer service that's 24/7 so you're"
116.31,120.32900000000001,"never left hanging"
117.42,121.799,"they make domain easy and if you want to"
120.329,124.55999999999999,"make the jump head over to square fish"
121.799,126.84,"comm flash McKinnon to enter code"
124.56,129.239,"McKinnon at checkout save yourself ten"
126.84,130.31900000000002,"percent off your first purchase oh you"
129.239,131.81900000000002,"are welcome"
130.319,134.28,"okay so the first thing you're going to"
131.819,135.66,"want to do is find your scene are you a"
134.28,137.97,"food photographer a landscape"
135.66,140.16,"photographer urban street you got to"
137.97,141.989,"decide what it is that you want to excel"
140.16,144.35999999999999,"what you want to stand out as on"
141.989,146.129,"Instagram as a photographer is if you"
144.36,148.20000000000002,"notice a lot of the big accounts and"
146.129,150.78,"we'll look at a few right now a lot of"
148.2,153.08999999999997,"the big accounts are very committed to"
150.78,155.19,"what it is that they are known for what"
153.09,156.78,"they stand out for Scott's feedback and"
155.19,158.55,"a friend of mine from Calgary he is"
156.78,160.319,"known for his mountain landscapes he"
158.55,162.84,"lives out in Alberta landscape"
160.319,164.31,"photography mountains lakes that kind of"
162.84,166.14000000000001,"stuff that's what he's known for that's"
164.31,167.849,"what he's stuck to my friend Dennis a"
166.14,170.069,"Prescott from BC another Canadian"
167.849,171.23899999999998,"incredible photographer great chef just"
170.069,173.97,"came out with a new book the guys at"
171.239,176.04,"beast his grid his account is food based"
173.97,177.72,"and he sticks to those strengths then"
176.04,179.519,"you have different people that are urban"
177.72,182.01,"photographers they're only taking shots"
179.519,183.84,"of urban things subways and cities and"
182.01,186.14999999999998,"architecture and lights and cars and"
183.84,187.98,"stuff that you find in urban settings"
186.15,189.269,"they stick to that if I'm a landscape"
187.98,190.5,"photographer and people follow me"
189.269,192.18,"because they love my landscape"
190.5,194.79,"photography and I am giving them tons"
192.18,196.709,"and tons and tons of photos and content"
194.79,198.29999999999998,"on landscapes and then suddenly I throw"
196.709,199.47,"in a coffee mug people aren't going to"
198.3,200.73000000000002,"like that photo as much because they're"
199.47,202.019,"going to say what the hell is this like"
200.73,203.34,"I'm here for the landscape photos I"
202.019,205.14000000000001,"don't want to see the Chemex filled with"
203.34,206.94,"coffee and you're not going to get the"
205.14,208.409,"engagement or the likes on that photo"
206.94,209.909,"that you would if it was just a"
208.409,212.37,"landscape thing now the problem with"
209.909,215.37,"this is you kind of tie yourself into"
212.37,217.34900000000002,"one specific area of photography which"
215.37,219.59900000000002,"can be really frustrating really"
217.349,221.22,"challenging because you might say I love"
219.599,224.129,"taking pictures of coffee but now"
221.22,227.099,"because I'm a landscape Instagram grid"
224.129,228.75,"what I can't post these photos and no"
227.099,230.069,"you can post whatever you want but this"
228.75,232.709,"is certain way to deliver that content"
230.069,234.03,"you can maximize it and get the most out"
232.709,236.159,"of it instead of just making it look"
234.03,239.01,"random and completely out of place so"
236.159,241.14,"mixing themes if you will throws off the"
239.01,243.06,"balance it sends a conflicting message"
241.14,245.04,"as to who you are as a photographer and"
243.06,245.97,"what it is that you specialize in one of"
245.04,247.82999999999998,"the first things you want to establish"
245.97,250.049,"when people land on our account or"
247.83,251.519,"profiles is what kind of a photographer"
250.049,254.15900000000002,"we are and they can get a sense"
251.519,256.59000000000003,"immediately of our aesthetic our design"
254.159,258.75,"style just based off those nine so"
256.59,261.17999999999995,"doesn't mean that theme has to stay that"
258.75,262.83,"way forever you could do you can cycle"
261.18,265.41,"through scenes maybe you start with"
262.83,267.09,"landscapes and then you slowly cycle"
265.41,269.01000000000005,"into urban and then from urban you're"
267.09,270.81,"slowly cycling into coffee shops which"
269.01,272.55,"then bleeds into food shots so you can"
270.81,273.93,"kind of make it a creative challenge for"
272.55,276.389,"yourself which is something that it's a"
273.93,277.86,"great exercise as an artist to further"
276.389,279.99,"develop your skills and give you"
277.86,281.82,"something personally to work on that"
279.99,283.889,"isn't an assignment that's paid you can"
281.82,286.23,"work on it in the background but it's a"
283.889,288,"fun challenge to kind of cycle through"
286.23,289.53000000000003,"themes but as long as your remaining"
288,292.11,"consistent in the content you're"
289.53,294.69,"delivering people will latch on to that"
292.11,297.93,"ok now let's talk about the grid the"
294.69,300.57,"grid is one of if not the most important"
297.93,302.55,"aspects of Instagram that is highly"
300.57,303.75,"overlooked by most people some of you"
302.55,306.12,"might know what I'm talking about the"
303.75,308.01,"grid is essentially all your photos what"
306.12,310.26,"they look like together as one cohesive"
308.01,311.78999999999996,"kind of portfolio as someone Scrolls"
310.26,313.2,"through your account so if you've a ton"
311.79,315.06,"of photos in there that are all mixed"
313.2,316.77,"matched and landscapes and coffee summer"
315.06,319.2,"with your phone summer with your camera"
316.77,320.94,"summer video clips the thumbnails are"
319.2,323.52,"just whatever and it's all mixed match"
320.94,326.1,"it doesn't give off a good cohesive flow"
323.52,327.71999999999997,"it doesn't tell me anything about the"
326.1,329.91,"style of photography you are your"
327.72,333.09000000000003,"personal style aesthetic there's nothing"
329.91,334.56,"for me to really get excited about it"
333.09,336.479,"makes me want to send that to someone"
334.56,338.01,"else or continue scrolling because like"
336.479,339.93,"I said you've got to earn those Scrolls"
338.01,342.18,"as people are scrolling through your"
339.93,344.31,"accounts it means that you've put enough"
342.18,346.14,"work into that grid that you're keeping"
344.31,348.06,"people there they want to keep looking"
346.14,349.56,"they want to keep enjoying the work to"
348.06,351.66,"be put into that Instagram account and"
349.56,354.36,"this might seem futile and it might"
351.66,356.78900000000004,"sound silly to a lot of people but this"
354.36,358.56,"is 2017 this is your digital portfolio"
356.789,360.84,"this is how it works these days"
358.56,363.18,"companies people potential business and"
360.84,365.21999999999997,"clients friends other photographers they"
363.18,366.87,"want to see what kind of work you do the"
365.22,368.76000000000005,"first place they're going to go is"
366.87,370.47,"probably Instagram so when you're"
368.76,372.419,"matching your theme you're matching your"
370.47,375.03000000000003,"content you're matching your colors and"
372.419,377.46,"you're keeping up a consistent rate of"
375.03,379.46999999999997,"posts with all of those things check"
377.46,382.40999999999997,"you're instantly going to take your"
379.47,384.12,"account from here way up to here without"
382.41,385.91900000000004,"really even doing anything extra but"
384.12,386.24,"just thinking about how you're posting"
385.919,388.25,"those"
386.24,389.75,"photos instead of just posting them now"
