start,end,text
0.51,4.919,"what's up with your buddy Peter McKinnon"
2.429,7.7989999999999995,"hearing today screw talking about b-roll"
4.919,9.719,"what it is what it ain't how you can use"
7.799,12.24,"it to make your footage your films and"
9.719,14.82,"your videos vlogs whatever way better"
12.24,16.89,"and now that I think about it I should"
14.82,18.36,"have probably cut some b-roll over that"
16.89,20.61,"intro so maybe we should redo that"
18.36,23.04,"what's up guys Peter MacKinnon here and"
20.61,25.14,"today we're talking about b-roll what it"
23.04,28.82,"is and how you can use it to make your"
25.14,28.82,"footage in your videos better"
31.69,37.660000000000004,"what is b-roll b-roll is alternative or"
35.71,40.15,"supplemental footage that you can use to"
37.66,42.669999999999995,"cut on top of your main angle so if this"
40.15,45.37,"frame was my main angle I could use"
42.67,47.95,"b-roll to overlay and cut on top of this"
45.37,50.29,"shot anything I want to make something"
47.95,51.879000000000005,"more interesting to tell a point to"
50.29,54.25,"bring you in a direction that I want to"
51.879,55.66,"bring you into or simply to just cover"
54.25,57.91,"up the fact that this is my face"
55.66,60.16,"rambling for the next 10 minutes because"
57.91,61.72,"let's be honest I tend to do that"
60.16,64.089,"so to start as an example I'm going to"
61.72,66.37,"use the vlog a lot of vlogs I start with"
64.089,69.07,"a cinematic sort of intro using b-roll"
66.37,71.409,"shots to kind of tell the mood portray"
69.07,73,"how I'm feeling that day where I am what"
71.409,75.01,"the weather is like and it kind of sets"
73,76.33,"the tone for the episode so let's say"
75.01,77.83,"I'm going to go do a photo shoot in a"
76.33,80.05,"forest we're going to start the vlog off"
77.83,82.08,"in my car but I'm not going to use any"
80.05,85.42,"b-roll this is what that would look like"
82.08,87.07,"it's going on everybody we are outside a"
85.42,88.479,"really cool forest right now that has"
87.07,89.83,"some awesome lights so we're going to"
88.479,92.17,"pack up our gear we're gonna go inside"
89.83,94.12,"and shoot light off some smoke get some"
92.17,100.93,"cool b-roll and yeah we're going to do"
94.12,102.64,"that right now okay so that was fine we"
100.93,104.95,"are freezing or to get back in the car"
102.64,107.26,"now and go to zone else because it is"
104.95,109.63,"way too cold outside the winds just"
107.26,111.7,"killed okay pretty boring not much"
109.63,114.69999999999999,"substance not much to look at wasn't"
111.7,116.44,"very much fun to watch yes just not"
114.7,119.71000000000001,"feeling it at all let's see what that"
116.44,122.41,"looks like again using b-roll going on"
119.71,123.88,"everybody we are outside a really cool"
122.41,125.25999999999999,"forest right now that has some awesome"
123.88,126.64,"lights so we're going to pack up our"
125.26,128.709,"gear we're going to go inside and shoot"
126.64,130.629,"light off some smoke get some cool"
128.709,133.08,"b-roll and yeah we're going to do that"
130.629,133.07999999999998,"right now"
133.83,149.739,"[Music]"
151.069,157.42999999999998,"okay that looks a lot better the problem"
153.65,159.20000000000002,"is I only shot b-roll of me taking"
157.43,161,"pictures my friends taking pictures you"
159.2,163.189,"don't really know where we are what"
161,164.78,"we're taking pictures of what we're"
163.189,167.03,"doing at all I didn't really give you"
164.78,168.739,"enough information so that's when we got"
167.03,170.84,"to shoot be role of the environment that"
168.739,174.03,"we're in as well cut those two together"
170.84,189.479,"it's going to look like this"
174.03,189.479,"[Music]"
192.66,204.17,"Oh"
194.2,204.17,"[Music]"
204.34,209.33,"so now we've got something now you can"
207.47,211.79,"see that we're taking pictures of this"
209.33,214.01000000000002,"forest you can see what we're looking at"
211.79,216.17,"when you see footage of us looking at"
214.01,218.09,"something which just helps fill in the"
216.17,220.64,"blanks it helps fill in the gaps and it"
218.09,222.14000000000001,"gives you a more whole experience how do"
220.64,223.82,"we think even more b-roll footage role"
222.14,226.30999999999997,"you can use drone footage you can use"
223.82,227.63,"your iPhone anything goes at all let's"
226.31,233.3,"see what some drone footage would look"
227.63,238.51999999999998,"like and then pray that you think you're"
233.3,242.06,"heading home tonight love the truth get"
238.52,244.46,"a chance man it looks pretty good but"
242.06,246.53,"because this is a vlog I want to shoot"
244.46,249.77,"footage of me using the drone as well"
246.53,251.78,"because I'm trying to tell a story of my"
249.77,254.24,"day I'm trying to tell a story of this"
251.78,256.25,"photo shoot so if it's only shots of the"
254.24,258.29,"footage if it's only shots from a drone"
256.25,260,"I'm not really giving you the full"
258.29,263.5,"picture let's take a look at the drone"
260,268.37,"shots with me operating the drone then"
263.5,273.1,"way that you shake your head and holding"
268.37,277.39,"a girl of the truth did it"
273.1,280.74,"and pass out your secret kept you"
277.39,285.94,"pushing down to the bow"
280.74,290.53000000000003,"knocking on door nobody got that wing"
285.94,292.03,"between now we've got the b-roll of a"
290.53,293.71,"shooting we've got the b-roll of our"
292.03,296.16999999999996,"environment we've got the b-roll of the"
