start,end,text
0.03,3.3,"what's up everybody Peter MacKinnon here"
1.74,5.27,"and today we're talking about five ways"
3.3,7.9799999999999995,"to take photos of the same thing"
5.27,15.33,"differently so think alright there it's"
7.98,17.58,"a bit definitely a thing okay a big"
15.33,19.05,"challenge in photography is usually"
17.58,20.549999999999997,"trying to find the right angle that"
19.05,22.23,"makes whatever you're shooting looked"
20.55,24.57,"the best that it possibly can and then"
22.23,26.279,"beyond that a big challenge is trying to"
24.57,28.05,"find different ways to make the same"
26.279,30.119,"thing look great over a series of"
28.05,32.07,"different photos if you're hired to do"
30.119,33.6,"product shots if you're hired to do a"
32.07,35.489,"wedding or anything like that"
33.6,38.129000000000005,"sometimes when you're taking photos of"
35.489,39.809,"the same object it's hard to make it"
38.129,41.579,"look different but there's a couple tips"
39.809,43.14,"and tricks that I can teach you guys so"
41.579,45.03,"let's you can start taking multiple"
43.14,46.5,"shots of the same thing making them all"
45.03,48.6,"look different but all equally"
46.5,49.829,"phenomenal in their own right okay now"
48.6,51.300000000000004,"instead of just shooting the finished"
49.829,52.829,"product you got to think beyond that you"
51.3,54.66,"got to think to yourself how is this"
52.829,57.059,"made how is it put together what"
54.66,58.8,"complements it what is it used for"
57.059,61.53,"who's using it what's the demographic"
58.8,64.439,"all of these questions spawn different"
61.53,66.36,"types of images okay so let's use food"
64.439,68.13,"for an example my wife and I run an"
66.36,71.07,"Instagram account only below go give"
68.13,73.04899999999999,"that some love we just cook well she"
71.07,74.63999999999999,"cooks let's be honest and I take photos"
73.049,79.629,"of food"
74.64,79.629,"[Music]"
81.86,86.37,"[Music]"
88.78,97.67,"[Music]"
103,107.39,"let's say for instance we're making a"
105.47,109.31,"salad okay most people would just take"
107.39,109.67,"pictures of the salad and be done with"
109.31,111.59,"it"
109.67,114.259,"but there's so many more photos to be"
111.59,116.299,"had from that item like all of the"
114.259,118.399,"ingredients that go into making that"
116.299,120.409,"salad that's a photo in its own prep the"
118.399,122.27,"preparation of those items that's a"
120.409,125.06,"photo on its own the salad actually"
122.27,127.069,"being made in steps and stages that's a"
125.06,129.47,"set of photos or footage on its own the"
127.069,131.84,"finished salad of course is a photo on"
129.47,133.67,"its own maybe even the salad remnants of"
131.84,135.56,"the the end of the bowl with the"
133.67,137.54,"dressing in the forks empty to show that"
135.56,139.16,"the salad is now gone might be silly but"
137.54,141.47,"I mean what we're trying to do here is"
139.16,143.569,"tell a story and get the widest range of"
141.47,144.53,"imagery from one subject instead of just"
143.569,146.63,"shooting the bowl"
144.53,148.73,"maybe rotating it shooting it again"
146.63,150.5,"maybe instead of putting in a bowl put"
148.73,151.79,"in a wineglass now you've got a"
150.5,154.19,"completely different looking image that"
151.79,155.87,"looks super super cool and different and"
154.19,157.609,"unique so there's different ways of"
155.87,159.41,"presenting your shots just different"
157.609,160.82000000000002,"ways of packaging your own shots"
159.41,162.56,"different ways of shooting them and"
160.82,164.15,"different things that you can work in"
162.56,166.07,"and out of to get the most out of"
164.15,166.97,"whatever it is that you're shooting and"
166.07,168.65,"that's what I'm trying to teach you guys"
166.97,170.57,"and try to teach you to look at things"
168.65,172.28,"from different angles new perspectives"
170.57,174.59,"ways that you wouldn't have before maybe"
172.28,175.94,"the opposite ways that are taught I mean"
