start,end,text
0.09,3.28,"[Music]"
6.24,9.429,"good morning"
7.69,11.019,"the plan is to meet downstairs for"
9.429,13.329,"breakfast because we're gonna go to this"
11.019,21.939,"event after but this is funny look at"
13.329,24.21,"this USA no that's not right at all I'm"
21.939,24.21,"Canadian"
27.9,46.18,"eight dollars robbery to our now ready"
42.94,48.25,"to go to this breakfast event swimming"
46.18,50.88,"scooters practice will wake me out I'm"
48.25,55.93,"hungry yeah"
50.88,59.11,"[Music]"
55.93,60.04,"we are in San Francisco we got Kirk we"
59.11,63.7,"got Holliday"
60.04,65.41,"it is hot I mean it's it's 50 Fahrenheit"
63.7,67.69,"that's 10 degrees Celsius"
65.41,69.58,"we're headed to find Mexican food the"
67.69,70.33,"favorite a bathing suit because this guy"
69.58,72.39999999999999,"forgot it"
70.33,74.98,"that's travel fail number one no matter"
72.4,77.38000000000001,"where you go you bring a bathing suits"
74.98,78.7,"and Pete 101 leave it in your bag so I'm"
77.38,80.14,"just gonna leave it in my bag next then"
78.7,81.4,"not even take it out you buy a bag"
80.14,84.73,"bathing suit"
81.4,86.56,"it's common sense let's go you told me"
84.73,88.99000000000001,"you knew where or why you know I do know"
86.56,90.85000000000001,"that's the last doesn't it top to the"
88.99,93.19,"last like a holiday where's the Mexican"
90.85,95.25999999999999,"place one block hang a left"
93.19,97.36,"hang a left and look over and guys on"
95.26,99.64,"Google Maps I think it's just over there"
97.36,100.84,"we're in San Francisco we're about to go"
99.64,103.06,"to the greatest restaurant on earth"
100.84,105.67,"throw B sueño gays are not another one"
103.06,108.16,"in Espanola get it yeah blow in espanol"
105.67,115.44,"this is going well supposed to be ready"
108.16,115.44,"to go throw P sueño I mean that place"
116.2,120.82000000000001,"thanks bud okay you're the workers who"
118.75,121.619,"hit them here waiting for our food got"
120.82,124.57,"some more Chadha"
121.619,126.58,"amazing magical milk drink of Central"
124.57,130.209,"America it's just like milk and cinnamon"
126.58,134.13,"and rice coconut stuff like it's just"
130.209,134.13,"look it up it's so good"
135.61,142.22000000000003,"[Music]"
144.21,148.27,"okay that was amazing now we're gonna go"
146.35,150.51999999999998,"find holiday a bathing suit do you know"
148.27,151.57000000000002,"where target is you have any idea let me"
150.52,153.79000000000002,"get my phone Utley"
151.57,158.44,"I'm gonna look it up on your phone all"
153.79,160.06,"right you know they got rid of target in"
158.44,161.35,"Canada it was here and then they were"
160.06,163.42000000000002,"just like you know what this isn't"
161.35,166.95,"working for us and they just get on they"
163.42,169.08999999999997,"got fully buying this for for the wife"
166.95,171.04,"I'm gonna buy one for myself too"
169.09,174.6,"are we watching it right now this is"
171.04,177.34,"great just knew this guy's bathing suit"
174.6,178.81,"you would I mean it's amazing"
177.34,185.53,"great that's probably the best paintings"
178.81,188.32,"that I've ever seen nobody's been don't"
185.53,190.54,"big dope all right before we get out and"
188.32,192.91,"get to the meat of this video which is"
190.54,194.38,"how did not take photos like tourists I"
192.91,196.959,"need to make a quick important phone"
194.38,198.91,"call hey Bill I'm just wondering what"
196.959,202.69,"time the pool closes at 10:00 p.m."
198.91,204.25,"that's great see you there that guy was"
202.69,205.72,"awesome he's like I might just come up"
204.25,206.769,"and join you up there I don't really"
205.72,212.88,"know what to think about that but uh"
206.769,212.88,"10:00 p.m. closes at 10:00 let's do this"
214.59,217.669,"[Music]"
220.97,228.93,"[Music]"
243.01,258.36,"[Music]"
262.81,284.289,"[Music]"
284.669,291.18,"oh it's super windy so the wind noise is"
289.11,292.86,"probably in singing because the Golden"
291.18,295.379,"Gate Bridge if you've ever been here the"
292.86,298.8,"wind is just it's always it's not stuff"
295.379,300.87,"it's just it's I want to talk to you"
298.8,304.639,"guys it's how to take photos not like a"
300.87,304.639,"tourist what do I mean by that that"
305.21,313.65,"looks safe okay so I found like a nice"
312.21,315.09,"quiet little area where I could say a"
313.65,316.83,"few things because that wind is insane"
315.09,318.11999999999995,"I'm I'm very sorry ahead of time so"
316.83,319.83,"coming to San Francisco everyone"
318.12,321.599,"obviously wants to shoot the Golden Gate"
319.83,324.09,"Bridge it's like the most iconic bridge"
321.599,325.8,"ever probably or at least one of them"
324.09,328.04999999999995,"but the thing is like how do you get the"
325.8,330.06,"angles that no one else gets how do you"
328.05,331.949,"make sure that your photos stand out"
330.06,333.509,"from every other photographers photos"
331.949,334.979,"that are standing there doing the exact"
333.509,336.449,"same thing with all of their tripod"
334.979,338.37,"setup now sometimes those photos were"
336.449,340.5,"great to get but how do we get creative"
338.37,342.539,"with it how do we find those angles that"
340.5,344.069,"don't make us look like tourists or"
342.539,345.509,"don't make our photos look like everyone"
344.069,346.71000000000004,"else's photos we want to stand out a"
345.509,349.5,"little bit more so I'm here with my"
