start,end,text
0.03,6.6290000000000004,"what's up guys back at the desk it is a"
2.85,8.78,"no II Sunday afternoon and I really"
6.629,11.849,"wanted to go downtown and shoot and I'm"
8.78,13.889,"still going to don't get me wrong but"
11.849,16.049,"today I just didn't want to die in"
13.889,18.39,"pursuit of the next YouTube video so I"
16.049,19.83,"thought yeah might be a good idea if I"
18.39,22.380000000000003,"just stay here and teach you guys"
19.83,24.72,"something fun you can mess around it"
22.38,26.49,"over the next couple days whatever those"
24.72,30,"are my thoughts so this is kind of like"
26.49,31.65,"a vlog kind of like a vlog toriel like"
30,34.5,"I'm just hanging out we're just hanging"
31.65,36.269999999999996,"out and having a good Sunday afternoon"
34.5,38.730000000000004,"might be Monday by the time you guys"
36.27,40.89,"seen this but yeah who's counting who I"
38.73,43.23,"am obviously ok so I think what I want"
40.89,45.989000000000004,"to do for this video today is teach you"
43.23,48.3,"guys how I view time lapses and wow it"
45.989,50.038999999999994,"is really smelling is there literally"
48.3,51.87,"every single person is on the street"
50.039,53.910000000000004,"shoveling their driveway except for me"
51.87,56.37,"like upset are things to do we got"
53.91,59.279999999999994,"videos to make people come on priorities"
56.37,60.809,"why at all you the time-lapse I just"
59.28,62.52,"like them because they look dope they're"
60.809,63.959999999999994,"great little pieces to put into a travel"
62.52,65.93900000000001,"video if you're making it you went on"
63.96,68.43,"vacation it was an incredible sunset you"
65.939,70.04899999999999,"want to show that in you know the end of"
68.43,72.45,"your video or whatever I'm going to show"
70.049,73.95,"you how I do it now it's not the best"
72.45,75.24000000000001,"way it's not the only way so for"
73.95,76.92,"everyone that's going to comment go you"
75.24,79.89,"know you could just use I know there's a"
76.92,83.1,"thousand ways to do this same thing okay"
79.89,86.009,"this is just how I do it and this is the"
83.1,88.14,"reason I use images I used still images"
86.009,90.54,"for my time-lapse instead of actually"
88.14,93.119,"just recording video at the time left"
90.54,95.7,"here's two examples take a look at this"
93.119,99.06,"footage right here this footage is shot"
95.7,101.57900000000001,"downtown at my friend's apartment and I"
99.06,103.56,"shot it at night mind you okay but it"
101.579,105.96,"was on a tripod everything was set"
103.56,107.759,"perfectly was weighted down I took every"
105.96,109.979,"precaution to make it look as cool as I"
107.759,112.439,"could now all I did for this one was"
109.979,114.65899999999999,"just roll video I just rolled the video"
112.439,116.63999999999999,"for like 20 to 30 minutes and then when"
114.659,119.82000000000001,"I got it back into post I bet enough to"
116.64,122.009,"like two thousand percent and now you"
119.82,125.15899999999999,"have a time-lapse but it just doesn't"
122.009,126.47,"look this just there isn't that like 3d"
125.159,129.02,"depth"
126.47,130.16,"to it that I want opposed to a time"
129.02,132.38000000000002,"lapse like this look at this one this"
130.16,134.54,"was done earlier in the day you guys saw"
132.38,137.75,"this in the last vlog called private"
134.54,139.7,"flight in the city this time up looks"
137.75,142.55,"way better now why does it look way"
139.7,144.26,"better because I use skill images to"
142.55,146,"thread this one together versus just"
144.26,147.38,"letting the camera roll for 30 minutes"
146,149.24,"now letting the camera roll for 30"
147.38,150.85999999999999,"minutes is the easy and fast and quick"
149.24,152.57000000000002,"and dirty way to do it and have I done"
150.86,154.10000000000002,"that absolutely sometimes that's all you"
152.57,156.14,"have time for and just want to get it"
154.1,158.93,"done you don't have the harddrive space"
156.14,160.88,"or you don't get [ __ ] oh so you just"
158.93,162.14000000000001,"roll camera smartphones now have time"
160.88,163.73,"lapse mode built into them like the"
162.14,165.5,"iPhone just shows a time-lapse and then"
163.73,167.06,"it gives you the finished sped up file"
165.5,169.91,"and you're kind of stuck with that but"
167.06,170.93,"still images is the way to go you're"
169.91,172.4,"going to set up your camera on a tripod"
170.93,173.6,"make sure it's on a tripod because you"
172.4,175.4,"don't want you don't want to move you"
173.6,176.81,"want to blow in the wind or move when"
175.4,178.64000000000001,"someone walks by it okay weigh it down"
176.81,180.41,"if you have to and then you need to use"
178.64,183.2,"an intervalometer this is the Canon"
180.41,185.03,"version which is highly overpriced"
183.2,186.56,"I bought it way back when I worked the"
185.03,189.29,"camera shop so I got it on like staff"
186.56,191.84,"discount for weight less you probably"
189.29,194.35999999999999,"don't need to buy the Canon model just"
191.84,196.34,"because it's like it's silly how much"
194.36,198.38000000000002,"money they charge for it I'll drop a"
196.34,201.23,"link to the time-lapse remote that does"
