start,end,text
0.06,2.939,"what's up everybody to your mckinnon"
1.68,4.74,"here and today we're talking about why"
2.939,5.879,"every photographer should be using"
4.74,7.5600000000000005,"Lightroom we're going to go through some"
5.879,8.879999999999999,"tips and tricks and techniques so that"
7.56,12.059,"by the end of this video hopefully"
8.88,14.580000000000002,"you'll be just a straight savage with"
12.059,21.81,"that camera using Lightroom alright roll"
14.58,23.85,"that intro alright everybody welcome"
21.81,25.5,"back to another Piotr MacKinnon tutorial"
23.85,27.75,"so great to see all your smiling faces"
25.5,29.31,"which actually can't see any of them but"
27.75,30.689,"I assume some of you are smiling and"
29.31,32.189,"some of you probably aren't smiling and"
30.689,34.469,"let's just continue with the tutorial"
32.189,36.149,"happy Father's Day for starters to all"
34.469,38.129000000000005,"the dads and fathers out there all the"
36.149,39.84,"fathers to be all the fathers come and"
38.129,42.93,"gone and all of that you can father"
39.84,45.870000000000005,"myself I respect the job at the title"
42.93,47.039,"the yeah happy Father's Day whatever"
45.87,49.14,"hope you guys have a great day of your"
47.039,51.300000000000004,"family and maybe grab your kids and"
49.14,53.129,"watch this tutorial and smash the like"
51.3,55.468999999999994,"button and that'll be my Father's Day"
53.129,57.42,"gift - whatever it's super lame I've"
55.469,59.28,"done a lot of tutorials in Photoshop and"
57.42,60.899,"in Premiere and just random stuff and"
59.28,62.64,"techniques and thoughts and stuff like"
60.899,64.17,"that but I've never done a tutorial with"
62.64,66.6,"Lightroom before and I thought it was"
64.17,69.09,"time that we did that it's an incredibly"
66.6,70.94999999999999,"powerful tool and to be honest like the"
69.09,72.54,"more and more time that goes by the more"
70.95,74.49000000000001,"I find myself using it and the more I"
72.54,76.17,"discover about it the more shortcuts I"
74.49,77.61,"discover about it and the more I start"
76.17,80.7,"to like it and I just thought to myself"
77.61,82.83,"you know my audience needs to know a how"
80.7,84.72,"much I like this and B I want them to"
82.83,86.22,"like it just as much so I'm going to run"
84.72,87.39,"through a couple things it's not going"
86.22,89.25,"to be a long one today I'm going to go"
87.39,91.14,"as fast as I can and by that I mean"
89.25,92.85,"it'll probably still be fifteen minutes"
91.14,94.77,"but I'm going to I'm going to do my best"
92.85,96.57,"as you guys can all get back to your"
94.77,98.579,"families but Before we jump into this"
96.57,100.40899999999999,"tutorial thank you to Squarespace for"
98.579,102.53999999999999,"sponsoring this episode and they are of"
100.409,104.549,"course as you all know the all-in-one"
102.54,106.89,"platform website where you can go to get"
104.549,108.75,"a store a blog a website and online"
106.89,110.7,"presence they make the whole thing easy"
108.75,112.049,"it's an all-in-one platform so it's all"
110.7,114.45,"done for you there's never anything to"
112.049,115.89,"upgrade or install or patch they've got"
114.45,117.95,"award-winning beautiful designer"
115.89,121.17,"templates award-winning customer service"
117.95,123.42,"24/7 they make domains easy these guys"
121.17,124.86,"have the web game on lock you want to"
123.42,127.409,"save some money head over to"
124.86,129.539,"squarespace.com slash McKinnon enter"
127.409,132.269,"code McKinnon in check out and I'll see"
129.539,135.55999999999997,"you the 10% off your first purchase"
132.269,138.36,"can get better and better at that whoo"
135.56,139.59,"okay so this tutorial like I said is"
138.36,141.03,"about light verse if you don't have"
139.59,144.56900000000002,"light room you want to pick that up"
141.03,146.67,"because it is awesome I use Lightroom CC"
144.569,148.58999999999997,"which is creative clouds so I just pay"
146.67,151.07899999999998,"for a subscription and I get access to"
148.59,152.909,"all the Adobe apps for a monthly fee I"
151.079,154.769,"highly recommend doing that they've got"
152.909,156.209,"plans for all different types of people"
154.769,157.92000000000002,"be it that it's a business you're a"
156.209,159.48,"student it's just a creative thing maybe"
157.92,160.76899999999998,"you just want to use one app whatever if"
159.48,162.17999999999998,"that's just like that's their whole"
160.769,163.89000000000001,"service now so they've got you covered"
162.18,165.69,"so head over there and check that out I"
163.89,167.27999999999997,"highly recommend you guys invest in that"
165.69,169.19,"if this is something that you are taking"
167.28,172.5,"seriously or want to take to the next"
169.19,175.92,"level I just feel like I'm fold sound"
172.5,177.78,"today Oh feeling it anyway so we're"
175.92,180.92999999999998,"gonna go over just a few tips and tricks"
177.78,182.79,"that I think will blow your mind or help"
180.93,184.829,"your workflow or speed up your workflow"
182.79,186.51,"and I'm really really excited to show"
184.829,187.53,"you now the one question I do get asked"
186.51,189.09,"a lot is well what's the difference"
187.53,191.25,"between Photoshop and Lightroom"
189.09,192.84,"both of them do a lot of the same things"
191.25,193.17,"both of them do completely different"
192.84,195.42000000000002,"things"
193.17,198.48,"Lightroom handles like the organization"
195.42,200.13,"and storage of files as well as the"
198.48,202.85899999999998,"editing where Photoshop doesn't so you"
200.13,205.59,"can catalog and store and really really"
202.859,207.81,"organize your entire photo library"
205.59,209.579,"within Lightroom at the same time as"
207.81,211.019,"editing those photos and stuff like that"
209.579,212.609,"and the nice thing about Lightroom is"
211.019,214.56,"you can always go back to those photos"
212.609,217.139,"and since they're stored raw you can"
214.56,218.79,"continue to edit them and there's no"
217.139,221.04000000000002,"Save button you don't have to hit save"
218.79,223.349,"as and save as new version you just go"
221.04,224.73,"back and reset it or keep updating it"
223.349,226.67999999999998,"that's the beauty of Lightroom where's"
224.73,227.73,"Photoshop you got to save versions but"
226.68,229.199,"there's a little more freedom for"
227.73,230.69899999999998,"manipulation in there like if you want"
229.199,232.56,"to take this guy's face and put it on"
230.699,234.66000000000003,"this guy's face and put this guy on the"
232.56,236.609,"moon and then put the moon in this guy's"
234.66,238.319,"garage and like that sounds crazy but"
236.609,240.989,"you could do that if you wanted to and"
238.319,243.06,"then lastly gonna keep doing this"
240.989,244.739,"bugging myself and then lastly I'm going"
243.06,247.29,"to teach you guys the best way that I"
244.739,248.579,"crop my photos for Instagram we're"
247.29,250.41,"posting to Instagram and getting the"
248.579,252.51000000000002,"best quality Instagram shops from"
250.41,254.31,"Lightroom to my phone so that I can"
252.51,256.62,"upload them and they look the best and"
254.31,259.079,"the most beast-like and just tasty"
256.62,262.169,"delicious awesome full screen rest just"
259.079,264.75,"mouth-watering decadence"
262.169,266.52,"get carried away all right let's jump"
264.75,268.62,"into Lightroom so once you've imported"
266.52,269.639,"your photos they come into this section"
268.62,271.889,"well actually they come into this"
269.639,273.33,"section called library and they're all"
271.889,275.43,"numbered and you can kind of go through"
273.33,277.08,"the thumbnails star them if you want so"
275.43,278.49,"if you like this one you can hit five"
277.08,279.96,"and that's going to remind you to come"
278.49,281.55,"back to it if you like this one a little"
279.96,283.83,"bit less you can hit three so when"
281.55,285.81,"you're ready to get editing click on the"
283.83,288.539,"developed tab and that's going to bring"
285.81,290.099,"you to basically the editor all your"
288.539,292.229,"organizational stuff is on this left"
290.099,293.49,"side here under collections and history"
292.229,296.279,"so if you're going to use Lightroom as"
293.49,298.05,"some sort of archival storage and"
296.279,299.879,"organization system as well as your"
298.05,302.43,"editor that's where all that stuff would"
299.879,304.8,"go as well as your presets which by the"
302.43,306.719,"way I am coming out with a bunch of"
304.8,308.43,"Lightroom presets for you guys to stay"
306.719,309.87,"tuned for that I'm just working on them"
308.43,311.25,"and they're taking a while because I"
309.87,313.59000000000003,"want them to be awesome and there's a"
311.25,315.389,"lot we are here this is the editor"
313.59,316.229,"everything down the right side here is"
315.389,317.849,"the stuff we're going to be talking"
316.229,320.12899999999996,"about today all of your tools and"
317.849,320.969,"brushes and adjustments and sliders"
320.129,323.279,"everything you're going to use to"
320.969,325.439,"manipulate a photo is here on the right"
323.279,326.639,"okay so to start off I mean we can"
325.439,328.56,"choose anything right like let's just"
326.639,330.389,"choose this for example one of the first"
328.56,333.509,"things I do is either white balance"
330.389,335.219,"exposure and correction of my horizons"
333.509,336.949,"so to get the right white balance you"
335.219,339.96,"just click this little eyedropper and"
336.949,342.3,"usually you can pick the whitest area of"
339.96,343.979,"the photo and it'll white balance to"
342.3,345.629,"that so now we won't just drop the"
343.979,347.699,"highlights a little bit to preserve that"
345.629,349.949,"sky lift the shadows slightly to give"
347.699,351.479,"some more detail lift up those whites"
349.949,352.8,"and this is really kind of personal"
351.479,354.96,"preference at this point you can use"
