start,end,text
0.38,3.88,"(upbeat electronic music)"
6.387,7.385999999999999,"- What's going on guys?"
7.386,10.039,"Five things to instantly step up your photo game."
10.039,12.306,"Here we go, let's get rolling, let's get right into it."
12.306,14.393999999999998,"Number one, angles."
14.394,16.66,"No more hip shots or blind fire,"
16.66,17.981,"we're gonna think about this."
17.981,20.909000000000002,"Angles are huge, instead of just pulling out your phone"
20.909,23.703,"or your camera and snapping the subject,"
23.703,27.391,"be it an object or a person at whatever's the easiest angle,"
27.391,30.320999999999998,"just take 10 extra seconds and think about"
30.321,32.231,"where could this look cool from?"
32.231,35.7,"Objects typically look really, really good or way better"
35.7,37.914,"when they're taken from a waist level"
37.914,41.465,"so you're at the same perspective of the object."
41.465,43.479000000000006,"Or just put a little thought into it."
43.479,46.438,"Maybe just move around to the left or move to the right,"
46.438,49.019000000000005,"move to the back, just take 10 extra seconds"
49.019,51.116,"and think to yourself how can I make this look better"
51.116,54.217999999999996,"than just snapping it for the sake of just snapping it?"
54.218,55.734,"'Cause we all know, we get home,"
55.734,57.765,"people compare photos and they always say,"
57.765,60.393,"wow, yours looks a lot better than mine, why is that?"
60.393,63.528,"'Cause we thought about those angles, that's number one."
63.528,66.496,"Tip number two, shoot through something."
66.496,68.045,"Instead of just taking a shot,"
68.045,70.743,"maybe dangle something in front of the lens a little bit."
70.743,73.067,"Maybe if you're outside taking a portrait,"
73.067,75.02499999999999,"instead of shooting the people in the forest,"
75.025,76.848,"maybe back into the tree a little bit"
76.848,78.723,"so you can see those branches and the leaves"
78.723,80.32,"hanging down in front of the lens,"
80.32,83.326,"it gives you bokeh, it gives you nice out of focus elements,"
83.326,87.28599999999999,"and it adds that extra (growling) to the photo"
87.286,89.95,"that is otherwise missing if you didn't do it."
89.95,92.05,"Maybe shoot through the handle of the mug,"
92.05,93.167,"take two playing cards,"
93.167,94.894,"hold them up to the lens, shoot through that."
94.894,98.083,"Essentially, shoot through anything,"
98.083,100.128,"put an object in front of the lens and just"
100.128,103.983,"finagle your way through so you can see the subject"
103.983,106.525,"through whatever it is that's blocking the lens."
106.525,108.882,"That adds a huge dynamic."
108.882,110.784,"It frames your shots in a really creative"
110.784,113.503,"and interesting way, give that one a shot."
113.503,114.586,"Pun intended."
115.627,118.021,"Number three, think opposite."
118.021,120.691,"Let's say we're gonna go do a landscape shot,"
120.691,122.535,"we are in front of Lake Louise."
122.535,125.048,"Everyone is taking the same photo."
