start,end,text
0.03,3.629,"what's up everybody Peter McKinnon"
1.589,8.06,"hearing today we're talking about five"
3.629,8.06,"ways to instantly make better videos"
11.269,15.33,"welcome back everybody to another"
13.32,16.529,"episode of whatever it is that we're"
15.33,19.17,"doing here I want to tell you guys about"
16.529,21.42,"five ways to instantly make better"
19.17,23.340000000000003,"videos that you can start doing today"
21.42,25.410000000000004,"they don't require money doesn't require"
23.34,27.119,"buying extra gear or just five things"
25.41,28.92,"that you can do five things that you can"
27.119,32.219,"think about just to instantly update"
28.92,33.480000000000004,"quality up that video game quality not"
32.219,36.149,"the actual video games we're talking"
33.48,38.57899999999999,"about video like your game and you get"
36.149,39.96,"it number one lighting okay lighting is"
38.579,41.85,"the most important thing when it comes"
39.96,44.160000000000004,"to photography cinematography film"
41.85,45.629000000000005,"videos photos lighting controls all I'm"
44.16,46.769999999999996,"not just talking about forced lighting"
45.629,48.449999999999996,"or stuff that we're going to set up or"
46.77,50.190000000000005,"lights that you have to buy or DIY"
48.45,52.59,"lighting setups outdoor light it's just"
50.19,54.899,"lighting as a whole be it that it's from"
52.59,56.190000000000005,"natural light for it's from something"
54.899,58.289,"that you bought that you've set up in"
56.19,60.329,"studio nailing that and locking that"
58.289,62.25,"down is one of the most important"
60.329,63.57,"aspects of what it is that we're doing"
62.25,66,"here now I've mentioned this before"
63.57,68.7,"window light is the best light for"
66,71.22,"run-and-gun get it done have it look"
68.7,73.64,"amazing reliable want to shoot your"
71.22,75.84,"window okay so for instance watch this"
73.64,77.52,"now this is a great example of good"
75.84,79.92,"window light the window is literally"
77.52,81.75,"right here it's a nice soft light coming"
79.92,83.7,"in it's not too harsh but it illuminates"
81.75,85.29,"me nicely makes me nice and clear which"
83.7,87.24000000000001,"means it's easy through to understand"
85.29,88.799,"and concentrate and focus on what is it"
87.24,90.53999999999999,"that I'm saying now because the shot is"
88.799,93.18,"so clean and the lightest open even on"
90.54,95.34,"my face really gives me a good wide"
93.18,97.07900000000001,"range of capabilities when it comes to"
95.34,98.88000000000001,"color correcting as footage and grading"
97.079,100.979,"it because it's lit so evenly and so"
98.88,103.619,"nice a post roof I moved away from the"
100.979,105.479,"window in the same room you can see how"
103.619,107.369,"that light loss is significantly"
105.479,108.92999999999999,"different it's much darker over here"
107.369,110.85,"which means our going to lose detail can"
108.93,112.5,"look a little more muddy opposed to just"
110.85,114.509,"standing close to the window and having"
112.5,116.67,"the whole scene well-lit this is also"
114.509,118.409,"this clip right here there's going to be"
116.67,119.399,"more difficult to color drain it's"
118.409,121.5,"probably going to come out a little more"
119.399,123.479,"grainy because we don't have enough"
121.5,124.979,"light on the image as a whole you see"
123.479,127.259,"what a difference that makes we're in"
124.979,129.1,"the same room right now lit by window"
127.259,130.81,"light but just by moving closer"
129.1,132.22,"or moving further away or shooting in"
130.81,134.11,"the corner of a room opposed to you"
132.22,136.12,"closer to the window makes all the"
134.11,137.77,"difference in how the quality is going"
136.12,139.39000000000001,"to be perceived in your videos and the"
137.77,141.4,"same thing goes for if you're actually"
139.39,142.77999999999997,"setting up using your lights or using"
141.4,144.34,"the light that's just in your ceiling"
142.78,145.63,"the difference is substantial if you"
144.34,147.55,"want to see more on how to do a DIY"
145.63,149.5,"lighting setup I'll link the video below"
147.55,150.82000000000002,"that I did super budget you can go to"
149.5,152.74,"Home Depot buy everything you need for"
150.82,154.39,"like less than 50 bucks but being able"
152.74,155.95000000000002,"to lock that down and just think about"
154.39,157.45,"where you want to shoot in your house"
155.95,158.67999999999998,"where you want to shoot in whatever"
157.45,160.14999999999998,"building that you're in a head of time"
158.68,161.35,"going to make your videos easier to"
160.15,163.84,"watch it's going to make that color"
161.35,166.35999999999999,"grading easier the overall outlook of"
163.84,167.89000000000001,"your videos will be tenfold better if"
166.36,170.29000000000002,"you just think about the lighting first"
167.89,173.82999999999998,"use those windows point number two is"
170.29,176.95,"proper music and sound now don't worry"
173.83,179.29000000000002,"I get asked about 500 times a day where"
176.95,181.26999999999998,"I find my music how I get music for my"
179.29,183.37,"videos I'm going to do an entire video"
181.27,185.86,"on that so don't worry guys it's coming"
183.37,189.61,"however having the proper music and"
185.86,191.59,"sound effects will 100% change the way"
189.61,193.48000000000002,"people view and see your videos you're"
191.59,195.31,"self included if you use the wrong track"
193.48,197.53,"for some incredible footage that footage"
195.31,200.14000000000001,"could be very well pristine does not as"
197.53,202.57,"good or not as epic or not as sad it's"
200.14,204.22,"all in the song choice if you've got"
202.57,206.07999999999998,"some home footage of a baby crawling"
204.22,207.52,"across the floor and it's some gangster"
206.08,208.75,"rap probably not going to set the tone"
207.52,210.61,"as well as something a little more"
208.75,212.59,"family-friendly and vice-versa that"
210.61,214.39000000000001,"works as well we've got footage of an r8"
212.59,216.43,"dripping down the street with some"
214.39,218.55999999999997,"people skateboarding some soft happy"
216.43,221.14000000000001,"piano might not be the way to go so song"
218.56,222.58,"choice is a huge factor when you're"
221.14,224.38,"thinking about your videos if it's a"
222.58,226.27,"cheesy song your footage is going to be"
224.38,229.10999999999999,"viewed and the piece as a whole is going"
226.27,229.11,"to be viewed as cheesy"
230.59,235.01,"[Music]"
233.21,237.06900000000002,"Hey"
235.01,237.069,"you"
237.18,241.95000000000002,"if it's a really really epic song but"
240.09,243.81,"the footage doesn't match the epicness"
241.95,246.379,"of the music then you're going to have a"
243.81,246.379,"disconnect"
250.56,255.579,"brings you to my next point is you want"
253.03,256.93,"to actually edit to the music a lot of"
255.579,258.759,"times they music there are some"
256.93,261.009,"incredible things that happen audibly"
258.759,263.71000000000004,"but you match the visuals to the audio"
261.009,265.509,"you can enhance that tenfold one thing"
263.71,267.31,"to have great music it's one thing to"
265.509,269.32,"edit to the beat but when you have"
267.31,271.21,"sounds of the forest where you have the"
269.32,273.25,"ambient noises of cars drilling well you"
271.21,275.289,"have that egg cracking the typing the"
273.25,277.509,"shuffling of cards paper being ripped"
275.289,280.509,"doesn't matter when you have those extra"
277.509,282.639,"ambient sound effects on top of the"
280.509,284.32,"great music and great footage it's the"
282.639,286.21000000000004,"full package it's the full experience"
284.32,288.43,"there's things that are often overlooked"
286.21,290.25899999999996,"but having proper sound effects makes"
288.43,291.849,"all the difference okay so what I've"
290.259,293.44,"done here to show you an example real"
291.849,296.56,"quick it's plug this rode videomicro"
293.44,298.599,"I've mounted it to this external monitor"
296.56,299.68,"arm that I've clamped to the desk going"
298.599,302.40999999999997,"to stick I'm going to bring that camera"
299.68,305.889,"closer and plug this directly in to give"
302.41,308.59000000000003,"me a more rich sound source to show and"
305.889,311.08,"prove a point to how much better even"
308.59,312.96999999999997,"something random and mundane or normal"
311.08,323.349,"the task can sound a lot better when you"
312.97,324.78900000000004,"have good rich audio to it now I'll show"
323.349,326.5,"you through the same clip but without a"
324.789,328.78,"microphone to show you that you don't"
326.5,330.07,"have as much immersion into the clip"
328.78,332.88,"that you're watching when it doesn't"
330.07,332.88,"sound as rich"
333,336.12,"[Applause]"
336.509,341.259,"point number three is learning your"
339.099,343.509,"software look up tutorials watch"
341.259,345.639,"different videos attend seminars by"
343.509,347.47,"training fine train free training"
